dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,GPU,"P | P",128,54,0.01264,0,0.029729,0.01312,0.098129,0.055489
1,double,uniform,GPU,"P | P",128,55,0.012512,0,0.03013,0.01328,0.09707,0.055922
1,double,uniform,GPU,"P | P",128,56,0.012128,0,0.02925,0.013376,0.096989,0.054754
1,double,uniform,GPU,"P | P",128,57,0.011808,0,0.02954,0.011776,0.094759,0.053124
1,double,uniform,GPU,"P | P",128,58,0.013056,0,0.02987,0.012224,0.095399,0.05515
1,double,uniform,GPU,"P | P",128,59,0.013504,0,0.02968,0.013632,0.097599,0.056816
1,double,uniform,GPU,"P | P",128,60,0.017888,0,0.029739,0.01168,0.098999,0.059307
1,double,uniform,GPU,"P | P",128,61,0.013152,0,0.029679,0.096,0.178658,0.138831
1,double,uniform,GPU,"P | P",128,62,0.013824,0,0.029459,0.015264,0.099829,0.058547
1,double,uniform,GPU,"P | P",128,63,0.012704,0,0.029759,0.013792,0.097179,0.056255
1,double,uniform,GPU,"P | P",128,64,0.013536,0,0.02978,0.013728,0.099359,0.057044
1,double,uniform,GPU,"P | P",128,65,0.013088,0,0.02966,0.013728,0.096878,0.056476
1,double,uniform,GPU,"P | P",128,66,0.012544,0,0.02932,0.013856,0.096479,0.05572
1,double,uniform,GPU,"P | P",128,67,0.013728,0,0.0296,0.012352,0.097389,0.05568
1,double,uniform,GPU,"P | P",128,68,0.012544,0,0.02974,0.011488,0.094839,0.053772
1,double,uniform,GPU,"P | P",128,69,0.013664,0,0.02596,0.015008,0.092879,0.054632
1,double,uniform,GPU,"P | P",128,70,0.01216,0,0.02936,0.012224,0.181998,0.053744
1,double,uniform,GPU,"P | P",128,71,0.013216,0,0.029509,0.013056,0.095979,0.055781
1,double,uniform,GPU,"P | P",128,72,0.012896,0,0.029499,0.01376,0.096949,0.056155
1,double,uniform,GPU,"P | P",128,73,0.01136,0,0.029708,0.012544,0.095739,0.053612
1,double,uniform,GPU,"P | P",128,74,0.011744,0,0.029389,0.013664,0.095619,0.054797
1,double,uniform,GPU,"P | P",192,0,0.0248,0,0.040929,0.022464,0.138719,0.088193
1,double,uniform,GPU,"P | P",192,1,0.014912,0,0.037959,0.0144,0.109599,0.067271
1,double,uniform,GPU,"P | P",192,2,0.013312,0,0.037399,0.01504,0.107909,0.065751
1,double,uniform,GPU,"P | P",192,3,0.013216,0,0.03771,0.01568,0.108198,0.066606
1,double,uniform,GPU,"P | P",192,4,0.011616,0,0.03712,0.011872,0.100849,0.060608
1,double,uniform,GPU,"P | P",192,5,0.012064,0,0.037099,0.013632,0.104409,0.062795
1,double,uniform,GPU,"P | P",192,6,0.013248,0,0.037419,0.015968,0.108449,0.066635
1,double,uniform,GPU,"P | P",192,7,0.012928,0,0.0371,0.015328,0.107079,0.065356
1,double,uniform,GPU,"P | P",192,8,0.013024,0,0.037758,0.012,0.103109,0.062782
1,double,uniform,GPU,"P | P",192,9,0.014624,0,0.037549,0.014016,0.107359,0.066189
1,double,uniform,GPU,"P | P",192,10,0.014144,0,0.033609,0.015264,0.097899,0.063017
1,double,uniform,GPU,"P | P",192,11,0.013312,0,0.03768,0.0144,0.109448,0.065392
1,double,uniform,GPU,"P | P",192,12,0.012608,0,0.03728,0.014784,0.107349,0.064672
1,double,uniform,GPU,"P | P",192,13,0.012384,0,0.03794,0.015648,0.110459,0.065972
1,double,uniform,GPU,"P | P",192,14,0.012608,0,0.037209,0.014368,0.105739,0.064185
1,double,uniform,GPU,"P | P",192,15,0.01264,0,0.038049,0.013248,0.106539,0.063937
1,double,uniform,GPU,"P | P",192,16,0.012576,0,0.037529,0.013376,0.103699,0.063481
1,double,uniform,GPU,"P | P",192,17,0.013632,0,0.037099,0.014528,0.105829,0.065259
1,double,uniform,GPU,"P | P",192,18,0.011104,0,0.0373,0.012224,0.101599,0.060628
1,double,uniform,GPU,"P | P",192,19,0.013248,0,0.03737,0.01328,0.105299,0.063898
1,double,uniform,GPU,"P | P",192,20,0.012992,0,0.03752,0.014752,0.107049,0.065264
1,double,uniform,GPU,"P | P",192,21,0.015712,0,0.03756,0.013216,0.107289,0.066488
1,double,uniform,GPU,"P | P",192,22,0.013216,0,0.03729,0.014304,0.115629,0.06481
1,double,uniform,GPU,"P | P",192,23,0.014144,0,0.03719,0.013568,0.106719,0.064902
1,double,uniform,GPU,"P | P",192,24,0.012832,0,0.03702,0.015584,0.106719,0.065436
1,double,uniform,GPU,"P | P",192,25,0.01472,0,0.037479,0.01408,0.108078,0.066279
1,double,uniform,GPU,"P | P",192,26,0.012384,0,0.03733,0.01408,0.106299,0.063794
1,double,uniform,GPU,"P | P",192,27,0.013504,0,0.037179,0.015424,0.107359,0.066107
1,double,uniform,GPU,"P | P",192,28,0.013184,0,0.03744,0.016384,0.108358,0.067008
1,double,uniform,GPU,"P | P",192,29,0.01136,0,0.03711,0.013536,0.104929,0.062006
1,double,uniform,GPU,"P | P",192,30,0.011744,0,0.033949,0.014848,0.096139,0.060541
1,double,uniform,GPU,"P | P",192,31,0.013312,0,0.03712,0.014336,0.106009,0.064768
1,double,uniform,GPU,"P | P",192,32,0.012768,0,0.03724,0.01264,0.104418,0.062648
1,double,uniform,GPU,"P | P",192,33,0.012384,0,0.037309,0.01392,0.105579,0.063613
1,double,uniform,GPU,"P | P",192,34,0.013504,0,0.03776,0.015904,0.107889,0.067168
1,double,uniform,GPU,"P | P",192,35,0.012864,0,0.038239,0.014112,0.106219,0.065215
1,double,uniform,GPU,"P | P",192,36,0.012672,0,0.03746,0.01488,0.105998,0.065012
1,double,uniform,GPU,"P | P",192,37,0.012352,0,0.037239,0.014752,0.105899,0.064343
1,double,uniform,GPU,"P | P",192,38,0.0136,0,0.037548,0.014848,0.108309,0.065996
1,double,uniform,GPU,"P | P",192,39,0.013472,0,0.036909,0.014368,0.107429,0.064749
1,double,uniform,GPU,"P | P",192,40,0.012288,0,0.03784,0.014592,0.106478,0.06472
1,double,uniform,GPU,"P | P",192,41,0.012032,0,0.03732,0.012928,0.103308,0.06228
1,double,uniform,GPU,"P | P",192,42,0.01248,0,0.041149,0.016,0.105279,0.069629
1,double,uniform,GPU,"P | P",192,43,0.012544,0,0.138729,0.015744,0.201508,0.167017
1,double,uniform,GPU,"P | P",192,44,0.012832,0,0.03726,0.012192,0.103739,0.062284
1,double,uniform,GPU,"P | P",192,45,0.011328,0,0.03701,0.014624,0.105339,0.062962
1,double,uniform,GPU,"P | P",192,46,0.012064,0,0.03757,0.01408,0.104989,0.063714
1,double,uniform,GPU,"P | P",192,47,0.013632,0,0.037949,0.014624,0.107549,0.066205
1,double,uniform,GPU,"P | P",192,48,0.012448,0,0.03763,0.013632,0.104099,0.06371
1,double,uniform,GPU,"P | P",192,49,0.013536,0,0.03756,0.013632,0.106559,0.064728
1,double,uniform,GPU,"P | P",192,50,0.011552,0,0.037109,0.012544,0.103899,0.061205
1,double,uniform,GPU,"P | P",192,51,0.012128,0,0.037209,0.013696,0.103939,0.063033
1,double,uniform,GPU,"P | P",192,52,0.0128,0,0.03772,0.012928,0.105399,0.063448
1,double,uniform,GPU,"P | P",192,53,0.012704,0,0.0374,0.013952,0.105879,0.064056
1,double,uniform,GPU,"P | P",192,54,0.012928,0,0.037119,0.017472,0.108959,0.067519
1,double,uniform,GPU,"P | P",192,55,0.012448,0,0.037259,0.016384,0.107579,0.066091
1,double,uniform,GPU,"P | P",192,56,0.013024,0,0.037269,0.014432,0.105969,0.064725
1,double,uniform,GPU,"P | P",192,57,0.01312,0,0.03703,0.013984,0.105109,0.064134
1,double,uniform,GPU,"P | P",192,58,0.010816,0,0.03729,0.014528,0.104239,0.062634
1,double,uniform,GPU,"P | P",192,59,0.011872,0,0.037369,0.01536,0.106459,0.064601
1,double,uniform,GPU,"P | P",192,60,0.012672,0,0.037419,0.01536,0.113329,0.065451
1,double,uniform,GPU,"P | P",192,61,0.01344,0,0.03737,0.011936,0.103629,0.062746
