dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | P | P",128,37,0.792096,0,0.0609,0.031392,0.94006,0.884388
3,float,uniform,CPU,"P | P | P | P | P | P",128,38,0.79664,0,0.060679,0.03232,0.94395,0.889639
3,float,uniform,CPU,"P | P | P | P | P | P",128,39,0.785536,0,0.06155,0.028224,0.92826,0.87531
3,float,uniform,CPU,"P | P | P | P | P | P",128,40,0.789536,0,0.06129,0.028704,0.935889,0.87953
3,float,uniform,CPU,"P | P | P | P | P | P",128,41,0.784448,0,0.06116,0.030944,0.93155,0.876552
3,float,uniform,CPU,"P | P | P | P | P | P",128,42,0.78384,0,0.058099,0.033408,0.92167,0.875347
3,float,uniform,CPU,"P | P | P | P | P | P",128,43,0.795072,0,0.060199,0.029024,0.937539,0.884295
3,float,uniform,CPU,"P | P | P | P | P | P",128,44,0.788896,0,0.06067,0.02912,0.93465,0.878686
3,float,uniform,CPU,"P | P | P | P | P | P",128,45,0.794208,0,0.060489,0.030048,0.94111,0.884745
3,float,uniform,CPU,"P | P | P | P | P | P",128,46,0.943104,0,0.06094,0.033344,1.09157,1.03739
3,float,uniform,CPU,"P | P | P | P | P | P",128,47,0.78912,0,0.061119,0.030432,0.93407,0.880671
3,float,uniform,CPU,"P | P | P | P | P | P",128,48,0.786592,0,0.060669,0.030048,0.93076,0.877309
3,float,uniform,CPU,"P | P | P | P | P | P",128,49,0.789184,0,0.06076,0.030176,0.937889,0.88012
3,float,uniform,CPU,"P | P | P | P | P | P",128,50,0.78304,0,0.060889,0.030656,0.9262,0.874585
3,float,uniform,CPU,"P | P | P | P | P | P",128,51,0.794688,0,0.061009,0.029536,0.939549,0.885233
3,float,uniform,CPU,"P | P | P | P | P | P",128,52,0.786528,0,0.061159,0.030816,0.93099,0.878503
3,float,uniform,CPU,"P | P | P | P | P | P",128,53,0.789056,0,0.060869,0.026592,0.92977,0.876517
3,float,uniform,CPU,"P | P | P | P | P | P",128,54,0.78736,0,0.06052,0.030176,0.933559,0.878056
3,float,uniform,CPU,"P | P | P | P | P | P",128,55,0.791392,0,0.060459,0.030496,0.93551,0.882347
3,float,uniform,CPU,"P | P | P | P | P | P",128,56,0.774976,0,0.061069,0.029408,0.91816,0.865453
3,float,uniform,CPU,"P | P | P | P | P | P",128,57,0.776864,0,0.065339,0.027488,0.92481,0.869691
3,float,uniform,CPU,"P | P | P | P | P | P",128,58,0.91104,0,0.061939,0.03008,1.05885,1.00306
3,float,uniform,CPU,"P | P | P | P | P | P",128,59,0.901696,0,0.061499,0.030688,1.04728,0.993883
3,float,uniform,CPU,"P | P | P | P | P | P",128,60,0.891552,0,0.061039,0.0296,1.03653,0.982191
3,float,uniform,CPU,"P | P | P | P | P | P",128,61,0.781376,0,0.061219,0.029312,0.9282,0.871907
3,float,uniform,CPU,"P | P | P | P | P | P",128,62,0.795488,0,0.06106,0.02896,0.942629,0.885508
3,float,uniform,CPU,"P | P | P | P | P | P",128,63,0.777056,0,0.06122,0.02928,0.92246,0.867556
3,float,uniform,CPU,"P | P | P | P | P | P",128,64,0.772288,0,0.058459,0.033376,0.908479,0.864123
3,float,uniform,CPU,"P | P | P | P | P | P",128,65,0.782304,0,0.060679,0.028768,0.92396,0.871751
3,float,uniform,CPU,"P | P | P | P | P | P",128,66,0.7896,0,0.060819,0.033216,0.93642,0.883635
3,float,uniform,CPU,"P | P | P | P | P | P",128,67,0.780224,0,0.060359,0.031008,0.92556,0.871591
3,float,uniform,CPU,"P | P | P | P | P | P",128,68,0.792672,0,0.060979,0.029952,0.93987,0.883603
3,float,uniform,CPU,"P | P | P | P | P | P",128,69,0.783872,0,0.06162,0.032,0.93205,0.877492
3,float,uniform,CPU,"P | P | P | P | P | P",128,70,0.781408,0,0.061449,0.032,0.92915,0.874857
3,float,uniform,CPU,"P | P | P | P | P | P",128,71,0.78528,0,0.060659,0.028768,0.927919,0.874707
3,float,uniform,CPU,"P | P | P | P | P | P",128,72,0.779552,0,0.06079,0.028128,0.92293,0.86847
3,float,uniform,CPU,"P | P | P | P | P | P",128,73,0.801408,0,0.06059,0.029632,0.94782,0.89163
3,float,uniform,CPU,"P | P | P | P | P | P",128,74,0.782272,0,0.060679,0.029952,0.940379,0.872903
3,float,uniform,CPU,"P | P | P | P | P | P",192,0,2.90646,0,0.145798,0.079264,3.21482,3.13153
3,float,uniform,CPU,"P | P | P | P | P | P",192,1,2.64029,0,0.145848,0.078816,2.94908,2.86495
3,float,uniform,CPU,"P | P | P | P | P | P",192,2,2.62509,0,0.146398,0.084768,2.94182,2.85625
3,float,uniform,CPU,"P | P | P | P | P | P",192,3,2.7137,0,0.144019,0.0816,2.99888,2.93932
3,float,uniform,CPU,"P | P | P | P | P | P",192,4,2.67706,0,0.144738,0.080192,2.97041,2.90199
3,float,uniform,CPU,"P | P | P | P | P | P",192,5,2.72669,0,0.142668,0.076512,3.00692,2.94587
3,float,uniform,CPU,"P | P | P | P | P | P",192,6,2.83062,0,0.143138,0.080064,3.11225,3.05383
3,float,uniform,CPU,"P | P | P | P | P | P",192,7,2.77318,0,0.146938,0.0832,3.08438,3.00332
3,float,uniform,CPU,"P | P | P | P | P | P",192,8,2.71322,0,0.143579,0.083104,3.01327,2.9399
3,float,uniform,CPU,"P | P | P | P | P | P",192,9,2.63213,0,0.145128,0.0776,2.9312,2.85486
3,float,uniform,CPU,"P | P | P | P | P | P",192,10,2.68054,0,0.143159,0.0784,2.96221,2.9021
3,float,uniform,CPU,"P | P | P | P | P | P",192,11,2.62298,0,0.145949,0.082176,2.93449,2.8511
3,float,uniform,CPU,"P | P | P | P | P | P",192,12,2.71568,0,0.147188,0.081632,3.01677,2.9445
3,float,uniform,CPU,"P | P | P | P | P | P",192,13,2.63562,0,0.145839,0.0816,2.94208,2.86305
