dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,CPU,"Ns | Ns",128,35,0.030656,0,0.03315,0.007808,0.110619,0.071614
1,double,uniform,CPU,"Ns | Ns",128,36,0.029312,0,0.033089,0.00736,0.109139,0.069761
1,double,uniform,CPU,"Ns | Ns",128,37,0.030272,0,0.03271,0.007456,0.108048,0.070438
1,double,uniform,CPU,"Ns | Ns",128,38,0.027776,0,0.033139,0.007296,0.107109,0.068211
1,double,uniform,CPU,"Ns | Ns",128,39,0.031232,0,0.032939,0.006944,0.113999,0.071115
1,double,uniform,CPU,"Ns | Ns",128,40,0.03184,0,0.03273,0.006624,0.203218,0.071194
1,double,uniform,CPU,"Ns | Ns",128,41,0.029216,0,0.03363,0.008704,0.110799,0.07155
1,double,uniform,CPU,"Ns | Ns",128,42,0.028736,0,0.03389,0.007904,0.109099,0.07053
1,double,uniform,CPU,"Ns | Ns",128,43,0.030528,0,0.03361,0.006784,0.133809,0.070922
1,double,uniform,CPU,"Ns | Ns",128,44,0.034176,0,0.03306,0.007488,0.113699,0.074724
1,double,uniform,CPU,"Ns | Ns",128,45,0.032,0,0.03294,0.00832,0.112189,0.07326
1,double,uniform,CPU,"Ns | Ns",128,46,0.032896,0,0.03336,0.009696,0.114068,0.075952
1,double,uniform,CPU,"Ns | Ns",128,47,0.029984,0,0.038689,0.009472,0.117659,0.078145
1,double,uniform,CPU,"Ns | Ns",128,48,0.03056,0,0.03275,0.008608,0.111389,0.071918
1,double,uniform,CPU,"Ns | Ns",128,49,0.028992,0,0.03299,0.007456,0.108469,0.069438
1,double,uniform,CPU,"Ns | Ns",128,50,0.032416,0,0.03278,0.006048,0.110729,0.071244
1,double,uniform,CPU,"Ns | Ns",128,51,0.032992,0,0.03319,0.007488,0.113399,0.07367
1,double,uniform,CPU,"Ns | Ns",128,52,0.028896,0,0.031439,0.008864,0.102139,0.069199
1,double,uniform,CPU,"Ns | Ns",128,53,0.029536,0,0.033199,0.008896,0.112109,0.071631
1,double,uniform,CPU,"Ns | Ns",128,54,0.03088,0,0.033619,0.007264,0.110119,0.071763
1,double,uniform,CPU,"Ns | Ns",128,55,0.028896,0,0.03285,0.015488,0.118569,0.077234
1,double,uniform,CPU,"Ns | Ns",128,56,0.035808,0,0.032849,0.006784,0.113339,0.075441
1,double,uniform,CPU,"Ns | Ns",128,57,0.03472,0,0.03322,0.007008,0.114419,0.074948
1,double,uniform,CPU,"Ns | Ns",128,58,0.031296,0,0.032899,0.00768,0.109599,0.071875
1,double,uniform,CPU,"Ns | Ns",128,59,0.03168,0,0.03289,0.008704,0.111789,0.073274
1,double,uniform,CPU,"Ns | Ns",128,60,0.029344,0,0.03304,0.007616,0.111729,0.07
1,double,uniform,CPU,"Ns | Ns",128,61,0.031136,0,0.03338,0.00848,0.113028,0.072996
1,double,uniform,CPU,"Ns | Ns",128,62,0.02832,0,0.033189,0.007232,0.107359,0.068741
1,double,uniform,CPU,"Ns | Ns",128,63,0.029632,0,0.033119,0.005952,0.110289,0.068703
1,double,uniform,CPU,"Ns | Ns",128,64,0.02816,0,0.032829,0.00752,0.107599,0.068509
1,double,uniform,CPU,"Ns | Ns",128,65,0.03216,0,0.03278,0.007296,0.110009,0.072236
1,double,uniform,CPU,"Ns | Ns",128,66,0.028256,0,0.03337,0.007392,0.108569,0.069018
1,double,uniform,CPU,"Ns | Ns",128,67,0.033056,0,0.03326,0.007392,0.112528,0.073708
1,double,uniform,CPU,"Ns | Ns",128,68,0.031872,0,0.03338,0.008544,0.114909,0.073796
1,double,uniform,CPU,"Ns | Ns",128,69,0.030176,0,0.03332,0.006784,0.106819,0.07028
1,double,uniform,CPU,"Ns | Ns",128,70,0.029312,0,0.03357,0.006816,0.10893,0.069698
1,double,uniform,CPU,"Ns | Ns",128,71,0.028032,0,0.03286,0.006752,0.106709,0.067644
1,double,uniform,CPU,"Ns | Ns",128,72,0.034496,0,0.0333,0.006272,0.114719,0.074068
1,double,uniform,CPU,"Ns | Ns",128,73,0.027744,0,0.03284,0.008384,0.108549,0.068968
1,double,uniform,CPU,"Ns | Ns",128,74,0.032288,0,0.0332,0.005824,0.111419,0.071312
1,double,uniform,CPU,"Ns | Ns",192,0,0.05792,0,0.046539,0.01216,0.165058,0.116619
1,double,uniform,CPU,"Ns | Ns",192,1,0.029376,0,0.039299,0.010176,0.112179,0.078851
1,double,uniform,CPU,"Ns | Ns",192,2,0.02992,0,0.04216,0.009024,0.121169,0.081104
1,double,uniform,CPU,"Ns | Ns",192,3,0.031296,0,0.042859,0.007552,0.119949,0.081707
1,double,uniform,CPU,"Ns | Ns",192,4,0.03056,0,0.0423,0.007648,0.12309,0.080508
1,double,uniform,CPU,"Ns | Ns",192,5,0.031744,0,0.04255,0.009824,0.123039,0.084118
1,double,uniform,CPU,"Ns | Ns",192,6,0.032448,0,0.042149,0.009568,0.123949,0.084165
1,double,uniform,CPU,"Ns | Ns",192,7,0.029152,0,0.04245,0.008928,0.119699,0.08053
1,double,uniform,CPU,"Ns | Ns",192,8,0.029888,0,0.04109,0.008192,0.114948,0.07917
1,double,uniform,CPU,"Ns | Ns",192,9,0.029344,0,0.042389,0.00992,0.121519,0.081653
1,double,uniform,CPU,"Ns | Ns",192,10,0.031776,0,0.04206,0.008288,0.121429,0.082124
1,double,uniform,CPU,"Ns | Ns",192,11,0.031968,0,0.04191,0.008288,0.123859,0.082166
1,double,uniform,CPU,"Ns | Ns",192,12,0.030624,0,0.042689,0.008736,0.121599,0.082049
1,double,uniform,CPU,"Ns | Ns",192,13,0.029632,0,0.043249,0.008224,0.119659,0.081105
1,double,uniform,CPU,"Ns | Ns",192,14,0.03248,0,0.04298,0.008704,0.122338,0.084164
1,double,uniform,CPU,"Ns | Ns",192,15,0.030016,0,0.04225,0.0064,0.119449,0.078666
1,double,uniform,CPU,"Ns | Ns",192,16,0.0288,0,0.042359,0.008,0.119639,0.079159
1,double,uniform,CPU,"Ns | Ns",192,17,0.032608,0,0.04264,0.00928,0.125768,0.084528
1,double,uniform,CPU,"Ns | Ns",192,18,0.033728,0,0.04227,0.006944,0.122059,0.082942
1,double,uniform,CPU,"Ns | Ns",192,19,0.0312,0,0.04184,0.008864,0.121228,0.081904
1,double,uniform,CPU,"Ns | Ns",192,20,0.071264,0,0.04743,0.012256,0.194418,0.13095
1,double,uniform,CPU,"Ns | Ns",192,21,0.032192,0,0.042259,0.0088,0.123429,0.083251
1,double,uniform,CPU,"Ns | Ns",192,22,0.029888,0,0.04296,0.009536,0.121559,0.082384
1,double,uniform,CPU,"Ns | Ns",192,23,0.030208,0,0.04202,0.00848,0.121879,0.080708
1,double,uniform,CPU,"Ns | Ns",192,24,0.030144,0,0.04233,0.007264,0.117159,0.079738
1,double,uniform,CPU,"Ns | Ns",192,25,0.030432,0,0.04216,0.008256,0.125599,0.080848
1,double,uniform,CPU,"Ns | Ns",192,26,0.029376,0,0.04235,0.008064,0.120489,0.07979
1,double,uniform,CPU,"Ns | Ns",192,27,0.029696,0,0.041889,0.008704,0.120509,0.080289
1,double,uniform,CPU,"Ns | Ns",192,28,0.02944,0,0.04279,0.007904,0.119979,0.080134
1,double,uniform,CPU,"Ns | Ns",192,29,0.032064,0,0.042509,0.009024,0.121599,0.083597
1,double,uniform,CPU,"Ns | Ns",192,30,0.030208,0,0.042759,0.009568,0.123159,0.082535
1,double,uniform,CPU,"Ns | Ns",192,31,0.030528,0,0.041909,0.008416,0.121209,0.080853
1,double,uniform,CPU,"Ns | Ns",192,32,0.03184,0,0.042589,0.008288,0.123839,0.082717
1,double,uniform,CPU,"Ns | Ns",192,33,0.030368,0,0.042619,0.008576,0.120199,0.081563
1,double,uniform,CPU,"Ns | Ns",192,34,0.030368,0,0.04222,0.00944,0.121489,0.082028
1,double,uniform,CPU,"Ns | Ns",192,35,0.030048,0,0.047109,0.007392,0.123389,0.084549
1,double,uniform,CPU,"Ns | Ns",192,36,0.03088,0,0.042259,0.007648,0.120049,0.080787
1,double,uniform,CPU,"Ns | Ns",192,37,0.032096,0,0.0422,0.00848,0.122639,0.082776
1,double,uniform,CPU,"Ns | Ns",192,38,0.0288,0,0.039759,0.008,0.109819,0.076559
1,double,uniform,CPU,"Ns | Ns",192,39,0.031296,0,0.043019,0.007264,0.118149,0.081579
1,double,uniform,CPU,"Ns | Ns",192,40,0.030016,0,0.04324,0.00848,0.121689,0.081736
1,double,uniform,CPU,"Ns | Ns",192,41,0.030272,0,0.047119,0.00608,0.124159,0.083471
1,double,uniform,CPU,"Ns | Ns",192,42,0.028928,0,0.04227,0.007232,0.119199,0.07843
1,double,uniform,CPU,"Ns | Ns",192,43,0.031968,0,0.042519,0.007136,0.122819,0.081623
1,double,uniform,CPU,"Ns | Ns",192,44,0.030144,0,0.042299,0.007136,0.117059,0.079579
1,double,uniform,CPU,"Ns | Ns",192,45,0.028896,0,0.038989,0.009888,0.108929,0.077773
1,double,uniform,CPU,"Ns | Ns",192,46,0.031104,0,0.04265,0.008096,0.123369,0.08185
1,double,uniform,CPU,"Ns | Ns",192,47,0.029408,0,0.04196,0.014304,0.126139,0.085672
1,double,uniform,CPU,"Ns | Ns",192,48,0.030336,0,0.04267,0.008,0.119759,0.081006
1,double,uniform,CPU,"Ns | Ns",192,49,0.029152,0,0.04234,0.00816,0.119269,0.079652
1,double,uniform,CPU,"Ns | Ns",192,50,0.028576,0,0.04206,0.008608,0.119379,0.079244
1,double,uniform,CPU,"Ns | Ns",192,51,0.02688,0,0.04228,0.006944,0.11601,0.076104
1,double,uniform,CPU,"Ns | Ns",192,52,0.031744,0,0.042419,0.006944,0.120369,0.081107
1,double,uniform,CPU,"Ns | Ns",192,53,0.030368,0,0.04219,0.008352,0.120369,0.08091
1,double,uniform,CPU,"Ns | Ns",192,54,0.028704,0,0.04294,0.008032,0.121099,0.079676
1,double,uniform,CPU,"Ns | Ns",192,55,0.029056,0,0.04207,0.0088,0.119608,0.079926
1,double,uniform,CPU,"Ns | Ns",192,56,0.030208,0,0.042899,0.00768,0.119419,0.080787
1,double,uniform,CPU,"Ns | Ns",192,57,0.029376,0,0.0423,0.008192,0.11987,0.079868
1,double,uniform,CPU,"Ns | Ns",192,58,0.032896,0,0.042389,0.008,0.124939,0.083285
1,double,uniform,CPU,"Ns | Ns",192,59,0.030688,0,0.04238,0.006944,0.118699,0.080012
1,double,uniform,CPU,"Ns | Ns",192,60,0.030304,0,0.042,0.008896,0.119869,0.0812
1,double,uniform,CPU,"Ns | Ns",192,61,0.027872,0,0.042199,0.007264,0.115659,0.077335
1,double,uniform,CPU,"Ns | Ns",192,62,0.031552,0,0.04199,0.008064,0.126519,0.081606
1,double,uniform,CPU,"Ns | Ns",192,63,0.030912,0,0.041979,0.00848,0.122439,0.081371
1,double,uniform,CPU,"Ns | Ns",192,64,0.030496,0,0.042449,0.00832,0.120259,0.081265
1,double,uniform,CPU,"Ns | Ns",192,65,0.029504,0,0.043589,0.008864,0.121859,0.081957
1,double,uniform,CPU,"Ns | Ns",192,66,0.029632,0,0.04283,0.008992,0.121039,0.081454
1,double,uniform,CPU,"Ns | Ns",192,67,0.033248,0,0.04201,0.007456,0.121959,0.082714
1,double,uniform,CPU,"Ns | Ns",192,68,0.029536,0,0.04247,0.00896,0.121429,0.080966
1,double,uniform,CPU,"Ns | Ns",192,69,0.031904,0,0.136189,0.009248,0.212218,0.177341
1,double,uniform,CPU,"Ns | Ns",192,70,0.032672,0,0.04256,0.0088,0.120749,0.084032
1,double,uniform,CPU,"Ns | Ns",192,71,0.028672,0,0.04228,0.008,0.118699,0.078952
1,double,uniform,CPU,"Ns | Ns",192,72,0.030016,0,0.042289,0.00928,0.120739,0.081585
1,double,uniform,CPU,"Ns | Ns",192,73,0.03024,0,0.04215,0.008192,0.119999,0.080582
1,double,uniform,CPU,"Ns | Ns",192,74,0.031456,0,0.042579,0.007136,0.118229,0.081171
1,double,uniform,CPU,"Ns | Ns",256,0,0.05824,0,0.03971,0.011712,0.156159,0.109662
1,double,uniform,CPU,"Ns | Ns",256,1,0.031424,0,0.035669,0.008064,0.116139,0.075157
1,double,uniform,CPU,"Ns | Ns",256,2,0.030464,0,0.0356,0.00784,0.116099,0.073904
1,double,uniform,CPU,"Ns | Ns",256,3,0.02992,0,0.03479,0.008768,0.113428,0.073478
1,double,uniform,CPU,"Ns | Ns",256,4,0.032096,0,0.03549,0.008736,0.116749,0.076322
1,double,uniform,CPU,"Ns | Ns",256,5,0.029024,0,0.035289,0.007552,0.111989,0.071865
1,double,uniform,CPU,"Ns | Ns",256,6,0.031968,0,0.03542,0.008864,0.11559,0.076252
1,double,uniform,CPU,"Ns | Ns",256,7,0.028544,0,0.035159,0.008352,0.111689,0.072055
1,double,uniform,CPU,"Ns | Ns",256,8,0.03024,0,0.035039,0.006656,0.113639,0.071935
1,double,uniform,CPU,"Ns | Ns",256,9,0.031584,0,0.03484,0.008256,0.116049,0.07468
1,double,uniform,CPU,"Ns | Ns",256,10,0.031552,0,0.034949,0.007456,0.113569,0.073957
1,double,uniform,CPU,"Ns | Ns",256,11,0.030144,0,0.03604,0.007808,0.115209,0.073992
1,double,uniform,CPU,"Ns | Ns",256,12,0.031232,0,0.03603,0.008,0.356106,0.075262
1,double,uniform,CPU,"Ns | Ns",256,13,0.030624,0,0.035219,0.007584,0.112789,0.073427
1,double,uniform,CPU,"Ns | Ns",256,14,0.030048,0,0.0351,0.007008,0.114699,0.072156
1,double,uniform,CPU,"Ns | Ns",256,15,0.030272,0,0.035559,0.00704,0.114899,0.072871
1,double,uniform,CPU,"Ns | Ns",256,16,0.031648,0,0.03555,0.007264,0.114009,0.074462
1,double,uniform,CPU,"Ns | Ns",256,17,0.031648,0,0.035,0.008448,0.116229,0.075096
1,double,uniform,CPU,"Ns | Ns",256,18,0.030336,0,0.03533,0.008288,0.118519,0.073954
1,double,uniform,CPU,"Ns | Ns",256,19,0.03104,0,0.03499,0.007872,0.113499,0.073902
1,double,uniform,CPU,"Ns | Ns",256,20,0.031168,0,0.03528,0.007264,0.115449,0.073712
1,double,uniform,CPU,"Ns | Ns",256,21,0.030304,0,0.03545,0.007488,0.113279,0.073242
1,double,uniform,CPU,"Ns | Ns",256,22,0.029568,0,0.03492,0.008704,0.11313,0.073192
1,double,uniform,CPU,"Ns | Ns",256,23,0.030144,0,0.035029,0.00768,0.111909,0.072853
1,double,uniform,CPU,"Ns | Ns",256,24,0.031264,0,0.03558,0.008896,0.114869,0.07574
1,double,uniform,CPU,"Ns | Ns",256,25,0.030176,0,0.03133,0.009984,0.104529,0.07149
1,double,uniform,CPU,"Ns | Ns",256,26,0.030688,0,0.03588,0.00784,0.115599,0.074408
1,double,uniform,CPU,"Ns | Ns",256,27,0.029408,0,0.034799,0.008192,0.113059,0.072399
1,double,uniform,CPU,"Ns | Ns",256,28,0.028576,0,0.035439,0.008128,0.112549,0.072143
1,double,uniform,CPU,"Ns | Ns",256,29,0.029888,0,0.03557,0.008032,0.115729,0.07349
1,double,uniform,CPU,"Ns | Ns",256,30,0.032608,0,0.035151,0.007488,0.114539,0.075247
1,double,uniform,CPU,"Ns | Ns",256,31,0.033472,0,0.03498,0.008896,0.115729,0.077348
1,double,uniform,CPU,"Ns | Ns",256,32,0.030624,0,0.035119,0.008288,0.114339,0.074031
1,double,uniform,CPU,"Ns | Ns",256,33,0.03056,0,0.03505,0.008128,0.114039,0.073738
1,double,uniform,CPU,"Ns | Ns",256,34,0.028512,0,0.035099,0.008064,0.111059,0.071675
1,double,uniform,CPU,"Ns | Ns",256,35,0.030368,0,0.03499,0.008256,0.113159,0.073614
1,double,uniform,CPU,"Ns | Ns",256,36,0.02992,0,0.03485,0.008288,0.11463,0.073058
1,double,uniform,CPU,"Ns | Ns",256,37,0.030496,0,0.03511,0.00864,0.113389,0.074246
