dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,8,0.096864,0.001939,1.02836,0.100224,1.5518,1.22739
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,9,0.09616,0.00202,1.02751,0.099936,1.54886,1.22563
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,10,0.098592,0.001891,1.02901,0.09856,1.55131,1.22805
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,11,0.090752,0.00172,1.0306,0.100608,1.54819,1.22368
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,12,0.091072,0.001689,1.02738,0.10512,1.55146,1.22526
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,13,0.110816,0.00217,1.02963,0.101728,1.57103,1.24434
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,14,0.10912,0.0019,1.03001,0.103616,1.56891,1.24465
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,15,0.095008,0.00192,1.02589,0.100352,1.54887,1.22317
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,16,0.095072,0.001919,1.02737,0.101088,1.54975,1.22545
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,17,0.094464,0.00167,1.02889,0.100672,1.54991,1.2257
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,18,0.09584,0.00166,1.02665,0.098944,1.5452,1.22309
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,19,0.097088,0.00171,1.02742,0.100672,1.54814,1.22689
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,20,0.094176,0.00187,1.02622,0.09808,1.54352,1.22035
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,21,0.095104,0.00188,1.02805,0.101312,1.55226,1.22634
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,22,0.095648,0.00172,1.02722,0.098528,1.54603,1.22312
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,23,0.093376,0.00209,1.02717,0.098432,1.54643,1.22107
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,24,0.096224,0.00174,1.02777,0.100448,1.55097,1.22618
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,25,0.098688,0.00195,1.02738,0.098432,1.55015,1.22645
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,26,0.09584,0.001819,1.02751,0.099552,1.55016,1.22472
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,27,0.093696,0.002,1.02704,0.101216,1.54698,1.22395
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,28,0.107392,0.00174,1.02886,0.098432,1.56141,1.23642
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,29,0.099104,0.00172,1.03393,0.100928,1.55858,1.23568
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,30,0.095712,0.00185,1.02616,0.100288,1.54671,1.22401
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,31,0.092992,0.00173,1.02686,0.099776,1.54229,1.22136
