dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,CPU,"N | D",256,17,0.019328,0,0.021801,0.008768,0.088539,0.049897
1,float,uniform,CPU,"N | D",256,18,0.017984,0,0.02074,0.008288,0.085259,0.047012
1,float,uniform,CPU,"N | D",256,19,0.019264,0,0.021169,0.00656,0.089469,0.046993
1,float,uniform,CPU,"N | D",256,20,0.019744,0,0.02184,0.0064,0.189217,0.047984
1,float,uniform,CPU,"N | D",256,21,0.019808,0,0.022449,0.008896,0.087379,0.051153
1,float,uniform,CPU,"N | D",256,22,0.017984,0,0.01858,0.008,0.07738,0.044564
1,float,uniform,CPU,"N | D",256,23,0.01968,0,0.02153,0.008512,0.086329,0.049722
1,float,uniform,CPU,"N | D",256,24,0.018528,0,0.02163,0.006336,0.084079,0.046494
1,float,uniform,CPU,"N | D",256,25,0.019616,0,0.02118,0.0064,0.082889,0.047196
1,float,uniform,CPU,"N | D",256,26,0.018912,0,0.020929,0.007104,0.083159,0.046945
1,float,uniform,CPU,"N | D",256,27,0.018944,0,0.021449,0.00864,0.087629,0.049033
1,float,uniform,CPU,"N | D",256,28,0.0184,0,0.021171,0.00656,0.083609,0.046131
1,float,uniform,CPU,"N | D",256,29,0.019072,0,0.020869,0.008448,0.092059,0.048389
1,float,uniform,CPU,"N | D",256,30,0.021344,0,0.02204,0.007552,0.088689,0.050936
1,float,uniform,CPU,"N | D",256,31,0.02,0,0.02139,0.009152,0.089189,0.050542
1,float,uniform,CPU,"N | D",256,32,0.019968,0,0.02115,0.00816,0.087249,0.049278
1,float,uniform,CPU,"N | D",256,33,0.02016,0,0.02171,0.007296,0.085379,0.049166
1,float,uniform,CPU,"N | D",256,34,0.01744,0,0.01785,0.00816,0.075989,0.04345
1,float,uniform,CPU,"N | D",256,35,0.020832,0,0.021919,0.00672,0.088359,0.049471
1,float,uniform,CPU,"N | D",256,36,0.018432,0,0.02102,0.006368,0.083159,0.04582
1,float,uniform,CPU,"N | D",256,37,0.018016,0,0.02065,0.00784,0.089529,0.046506
1,float,uniform,CPU,"N | D",256,38,0.019008,0,0.02064,0.00624,0.082669,0.045888
1,float,uniform,CPU,"N | D",256,39,0.02,0,0.020469,0.006432,0.083409,0.046901
1,float,uniform,CPU,"N | D",256,40,0.018336,0,0.021269,0.008928,0.085839,0.048533
1,float,uniform,CPU,"N | D",256,41,0.018912,0,0.02145,0.006304,0.083029,0.046666
1,float,uniform,CPU,"N | D",256,42,0.022048,0,0.021649,0.008896,0.091529,0.052593
1,float,uniform,CPU,"N | D",256,43,0.020384,0,0.02267,0.005824,0.089348,0.048878
1,float,uniform,CPU,"N | D",256,44,0.019488,0,0.02169,0.007104,0.086609,0.048282
1,float,uniform,CPU,"N | D",256,45,0.017536,0,0.02053,0.008128,0.083779,0.046194
1,float,uniform,CPU,"N | D",256,46,0.019296,0,0.02103,0.008384,0.086229,0.04871
1,float,uniform,CPU,"N | D",256,47,0.018656,0,0.02132,0.006176,0.083519,0.046152
1,float,uniform,CPU,"N | D",256,48,0.02,0,0.0221,0.007808,0.085729,0.049908
1,float,uniform,CPU,"N | D",256,49,0.019328,0,0.021739,0.008256,0.087519,0.049323
1,float,uniform,CPU,"N | D",256,50,0.01856,0,0.02479,0.008512,0.089409,0.051862
1,float,uniform,CPU,"N | D",256,51,0.018688,0,0.02193,0.006304,0.084889,0.046922
1,float,uniform,CPU,"N | D",256,52,0.018112,0,0.0214,0.00624,0.082639,0.045752
1,float,uniform,CPU,"N | D",256,53,0.020032,0,0.02199,0.006176,0.085269,0.048198
1,float,uniform,CPU,"N | D",256,54,0.020064,0,0.02208,0.006944,0.087189,0.049088
1,float,uniform,CPU,"N | D",256,55,0.019136,0,0.021389,0.008096,0.085279,0.048621
1,float,uniform,CPU,"N | D",256,56,0.019552,0,0.0211,0.006784,0.084289,0.047436
1,float,uniform,CPU,"N | D",256,57,0.02064,0,0.02222,0.007584,0.08665,0.050444
1,float,uniform,CPU,"N | D",256,58,0.019168,0,0.02081,0.00832,0.086289,0.048298
1,float,uniform,CPU,"N | D",256,59,0.029152,0,0.021299,0.009024,0.099289,0.059475
