dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | P | P | P | P",128,8,0.026848,0,0.06135,0.032768,0.179558,0.120966
3,float,uniform,GPU,"P | P | P | P | P | P",128,9,0.026816,0,0.06152,0.032736,0.179698,0.121072
3,float,uniform,GPU,"P | P | P | P | P | P",128,10,0.026336,0,0.061579,0.033344,0.179108,0.121259
3,float,uniform,GPU,"P | P | P | P | P | P",128,11,0.025984,0,0.06179,0.03424,0.182728,0.122014
3,float,uniform,GPU,"P | P | P | P | P | P",128,12,0.04288,0,0.065949,0.04192,0.210258,0.150749
3,float,uniform,GPU,"P | P | P | P | P | P",128,13,0.026752,0,0.060929,0.031936,0.177358,0.119617
3,float,uniform,GPU,"P | P | P | P | P | P",128,14,0.026432,0,0.061819,0.032768,0.179199,0.121019
3,float,uniform,GPU,"P | P | P | P | P | P",128,15,0.026784,0,0.060909,0.031008,0.179398,0.118701
3,float,uniform,GPU,"P | P | P | P | P | P",128,16,0.02656,0,0.06158,0.033184,0.181538,0.121324
3,float,uniform,GPU,"P | P | P | P | P | P",128,17,0.033344,0,0.061209,0.032384,0.185458,0.126937
3,float,uniform,GPU,"P | P | P | P | P | P",128,18,0.039296,0,0.068289,0.04304,0.210758,0.150625
3,float,uniform,GPU,"P | P | P | P | P | P",128,19,0.048992,0,0.066019,0.042304,0.217627,0.157315
3,float,uniform,GPU,"P | P | P | P | P | P",128,20,0.025824,0,0.061189,0.032768,0.177728,0.119781
3,float,uniform,GPU,"P | P | P | P | P | P",128,21,0.026976,0,0.061459,0.034336,0.181888,0.122771
3,float,uniform,GPU,"P | P | P | P | P | P",128,22,0.027808,0,0.058249,0.034976,0.171669,0.121033
3,float,uniform,GPU,"P | P | P | P | P | P",128,23,0.027136,0,0.061949,0.034048,0.180969,0.123133
3,float,uniform,GPU,"P | P | P | P | P | P",128,24,0.027168,0,0.062139,0.041344,0.189818,0.130651
3,float,uniform,GPU,"P | P | P | P | P | P",128,25,0.027424,0,0.061089,0.032352,0.180268,0.120865
3,float,uniform,GPU,"P | P | P | P | P | P",128,26,0.02624,0,0.060949,0.032992,0.178098,0.120181
3,float,uniform,GPU,"P | P | P | P | P | P",128,27,0.0264,0,0.06051,0.0304,0.175858,0.11731
3,float,uniform,GPU,"P | P | P | P | P | P",128,28,0.027232,0,0.060779,0.0312,0.183888,0.119211
3,float,uniform,GPU,"P | P | P | P | P | P",128,29,0.026048,0,0.062109,0.032128,0.186357,0.120285
3,float,uniform,GPU,"P | P | P | P | P | P",128,30,0.026176,0,0.06145,0.032992,0.179229,0.120618
3,float,uniform,GPU,"P | P | P | P | P | P",128,31,0.027328,0,0.060879,0.0304,0.179998,0.118607
3,float,uniform,GPU,"P | P | P | P | P | P",128,32,0.025984,0,0.057439,0.03152,0.166468,0.114943
3,float,uniform,GPU,"P | P | P | P | P | P",128,33,0.026784,0,0.06066,0.032416,0.179238,0.11986
3,float,uniform,GPU,"P | P | P | P | P | P",128,34,0.026624,0,0.061809,0.034112,0.180568,0.122545
3,float,uniform,GPU,"P | P | P | P | P | P",128,35,0.025952,0,0.061189,0.03184,0.177807,0.118981
3,float,uniform,GPU,"P | P | P | P | P | P",128,36,0.041152,0,0.065709,0.042752,0.209668,0.149613
3,float,uniform,GPU,"P | P | P | P | P | P",128,37,0.027392,0,0.061209,0.033376,0.180508,0.121977
3,float,uniform,GPU,"P | P | P | P | P | P",128,38,0.026496,0,0.06114,0.031552,0.177018,0.119188
3,float,uniform,GPU,"P | P | P | P | P | P",128,39,0.027168,0,0.061349,0.031392,0.180108,0.119909
3,float,uniform,GPU,"P | P | P | P | P | P",128,40,0.026144,0,0.060759,0.03328,0.177718,0.120183
3,float,uniform,GPU,"P | P | P | P | P | P",128,41,0.026528,0,0.061379,0.032992,0.179928,0.120899
3,float,uniform,GPU,"P | P | P | P | P | P",128,42,0.03408,0,0.061779,0.029792,0.184788,0.125651
3,float,uniform,GPU,"P | P | P | P | P | P",128,43,0.027168,0,0.061879,0.033696,0.188558,0.122743
3,float,uniform,GPU,"P | P | P | P | P | P",128,44,0.026496,0,0.060739,0.035232,0.182127,0.122467
3,float,uniform,GPU,"P | P | P | P | P | P",128,45,0.034656,0,0.058289,0.032928,0.176898,0.125873
3,float,uniform,GPU,"P | P | P | P | P | P",128,46,0.027104,0,0.06018,0.031904,0.174918,0.119188
3,float,uniform,GPU,"P | P | P | P | P | P",128,47,0.026464,0,0.060879,0.032064,0.178128,0.119407
3,float,uniform,GPU,"P | P | P | P | P | P",128,48,0.0264,0,0.061519,0.032576,0.178168,0.120495
3,float,uniform,GPU,"P | P | P | P | P | P",128,49,0.033216,0,0.060899,0.033248,0.186258,0.127363
3,float,uniform,GPU,"P | P | P | P | P | P",128,50,0.02656,0,0.060849,0.030368,0.176468,0.117777
3,float,uniform,GPU,"P | P | P | P | P | P",128,51,0.027008,0,0.060559,0.03328,0.179509,0.120847
3,float,uniform,GPU,"P | P | P | P | P | P",128,52,0.026176,0,0.06081,0.031808,0.176638,0.118794
3,float,uniform,GPU,"P | P | P | P | P | P",128,53,0.028864,0,0.061389,0.033376,0.181498,0.123629
