dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,27,1.5408,0.001999,0.493975,0.100832,2.21867,2.13761
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,28,1.53482,0.001681,0.486946,0.094144,2.18066,2.11759
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,29,1.50086,0.00156,0.485704,0.094624,2.15125,2.08275
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,30,1.56256,0.00174,0.486616,0.095104,2.2072,2.14602
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,31,1.52704,0.00178,0.486685,0.09408,2.17541,2.10959
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,32,1.56867,0.0021,0.486844,0.094624,2.21088,2.15224
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,33,1.54579,0.00174,0.485974,0.095616,2.19134,2.12912
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,34,1.57485,0.00169,0.488555,0.095712,2.22002,2.1608
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,35,1.55222,0.00159,0.486754,0.092864,2.19214,2.13343
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,36,1.52512,0.00163,0.485774,0.09456,2.1672,2.10708
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,37,1.51504,0.00171,0.483605,0.09664,2.15024,2.097
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,38,1.50854,0.00169,0.488125,0.0936,2.15053,2.09196
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,39,1.56845,0.001608,0.485754,0.092768,2.21008,2.14858
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,40,1.4967,0.001619,0.487064,0.096,2.13989,2.08139
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,41,1.58826,0.00172,0.487417,0.094816,2.23362,2.17221
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,42,1.55363,0.00177,0.486334,0.095136,2.1973,2.13687
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,43,1.53542,0.00192,0.485026,0.093344,2.17247,2.11571
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,44,1.52074,0.001649,0.554454,0.094784,2.23354,2.17162
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,45,1.51731,0.00156,0.492254,0.093824,2.16023,2.10495
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,46,1.53882,0.00166,0.485564,0.094688,2.18052,2.12073
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,47,1.51322,0.001661,0.486837,0.093728,2.15658,2.09544
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,48,1.52864,0.001719,0.486615,0.092128,2.16856,2.1091
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,49,1.53974,0.00162,0.481624,0.096608,2.17503,2.1196
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,50,1.51901,0.001609,0.485236,0.093248,2.15936,2.0991
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,51,1.54864,0.00188,0.485855,0.092576,2.18876,2.12895
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,52,1.55382,0.001741,0.485436,0.093376,2.19288,2.13438
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,53,1.53869,0.001801,0.486326,0.092192,2.17829,2.11901
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,54,1.51936,0.001651,0.485956,0.095488,2.16561,2.10246
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,55,1.51002,0.001589,0.490116,0.093376,2.15465,2.0951
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,56,1.5209,0.00154,0.486214,0.09408,2.16293,2.10273
