dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"D | D | D | D | D | D",128,24,1.4943,0,2.13084,0.061088,3.73377,3.68623
3,double,uniform,CPU,"D | D | D | D | D | D",128,25,1.52362,0,2.13632,0.063456,3.79059,3.72339
3,double,uniform,CPU,"D | D | D | D | D | D",128,26,1.54186,0,2.13387,0.065056,3.79293,3.74078
3,double,uniform,CPU,"D | D | D | D | D | D",128,27,1.51498,0,2.13163,0.058688,3.76705,3.70529
3,double,uniform,CPU,"D | D | D | D | D | D",128,28,1.48675,0,2.12866,0.05872,3.71662,3.67413
3,double,uniform,CPU,"D | D | D | D | D | D",128,29,1.5616,0,2.13675,0.065408,3.83768,3.76376
3,double,uniform,CPU,"D | D | D | D | D | D",128,30,1.50371,0,2.12959,0.058432,3.77828,3.69174
3,double,uniform,CPU,"D | D | D | D | D | D",128,31,1.64544,0,2.13474,0.062624,3.90516,3.8428
3,double,uniform,CPU,"D | D | D | D | D | D",128,32,1.54912,0,2.13704,0.064128,3.8231,3.75029
3,double,uniform,CPU,"D | D | D | D | D | D",128,33,1.55549,0,2.1307,0.063136,3.80239,3.74933
3,double,uniform,CPU,"D | D | D | D | D | D",128,34,1.55184,0,2.1378,0.064448,3.82569,3.75409
3,double,uniform,CPU,"D | D | D | D | D | D",128,35,1.53818,0,2.13492,0.064096,3.80069,3.73719
3,double,uniform,CPU,"D | D | D | D | D | D",128,36,1.52806,0,2.13161,0.061056,3.76837,3.72073
3,double,uniform,CPU,"D | D | D | D | D | D",128,37,1.50371,0,2.1314,0.057888,3.74168,3.693
3,double,uniform,CPU,"D | D | D | D | D | D",128,38,1.52973,0,2.13177,0.0584,3.76946,3.7199
3,double,uniform,CPU,"D | D | D | D | D | D",128,39,1.52858,0,2.13102,0.060736,3.77164,3.72033
3,double,uniform,CPU,"D | D | D | D | D | D",128,40,1.53789,0,2.13196,0.059872,3.77865,3.72972
3,double,uniform,CPU,"D | D | D | D | D | D",128,41,1.51008,0,2.13069,0.060064,3.74908,3.70084
3,double,uniform,CPU,"D | D | D | D | D | D",128,42,1.51168,0,2.1303,0.062688,3.75204,3.70467
3,double,uniform,CPU,"D | D | D | D | D | D",128,43,1.50896,0,2.13377,0.061408,3.75924,3.70414
3,double,uniform,CPU,"D | D | D | D | D | D",128,44,1.52451,0,2.13117,0.062368,3.76649,3.71805
3,double,uniform,CPU,"D | D | D | D | D | D",128,45,1.53008,0,2.1319,0.062464,3.77255,3.72445
3,double,uniform,CPU,"D | D | D | D | D | D",128,46,1.5455,0,2.13623,0.063296,3.81641,3.74503
3,double,uniform,CPU,"D | D | D | D | D | D",128,47,1.53306,0,2.13272,0.058592,3.77048,3.72437
