dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,double,uniform,GPU,"P | P | P | P",256,7,0.008544,0,0.06007,0.016896,0.137138,0.08551
2,double,uniform,GPU,"P | P | P | P",256,8,0.008288,0,0.0599,0.016704,0.137688,0.084892
2,double,uniform,GPU,"P | P | P | P",256,9,0.012384,0,0.059939,0.016448,0.138488,0.088771
2,double,uniform,GPU,"P | P | P | P",256,10,0.008128,0,0.059939,0.01856,0.138309,0.086627
2,double,uniform,GPU,"P | P | P | P",256,11,0.008768,0,0.05982,0.016384,0.136038,0.084972
2,double,uniform,GPU,"P | P | P | P",256,12,0.008224,0,0.059849,0.016256,0.135149,0.084329
2,double,uniform,GPU,"P | P | P | P",256,13,0.009088,0,0.059809,0.018208,0.137718,0.087105
2,double,uniform,GPU,"P | P | P | P",256,14,0.00912,0,0.059649,0.017792,0.135889,0.086561
2,double,uniform,GPU,"P | P | P | P",256,15,0.0096,0,0.05688,0.01632,0.124889,0.0828
2,double,uniform,GPU,"P | P | P | P",256,16,0.008512,0,0.162858,0.015584,0.238917,0.186954
2,double,uniform,GPU,"P | P | P | P",256,17,0.008096,0,0.059989,0.015104,0.134889,0.083189
2,double,uniform,GPU,"P | P | P | P",256,18,0.007712,0,0.059519,0.015104,0.134798,0.082335
2,double,uniform,GPU,"P | P | P | P",256,19,0.008416,0,0.05972,0.016128,0.134608,0.084264
2,double,uniform,GPU,"P | P | P | P",256,20,0.008192,0,0.05954,0.016832,0.135029,0.084564
2,double,uniform,GPU,"P | P | P | P",256,21,0.0072,0,0.059879,0.016288,0.133929,0.083367
2,double,uniform,GPU,"P | P | P | P",256,22,0.008928,0,0.059949,0.01792,0.135898,0.086797
2,double,uniform,GPU,"P | P | P | P",256,23,0.008448,0,0.060019,0.016192,0.135039,0.084659
2,double,uniform,GPU,"P | P | P | P",256,24,0.091232,0,0.059949,0.016384,0.218598,0.167565
2,double,uniform,GPU,"P | P | P | P",256,25,0.009536,0,0.059939,0.01648,0.136698,0.085955
2,double,uniform,GPU,"P | P | P | P",256,26,0.008256,0,0.060129,0.017632,0.137618,0.086017
2,double,uniform,GPU,"P | P | P | P",256,27,0.007936,0,0.060539,0.016672,0.136219,0.085147
2,double,uniform,GPU,"P | P | P | P",256,28,0.008608,0,0.059889,0.015232,0.133039,0.083729
2,double,uniform,GPU,"P | P | P | P",256,29,0.00944,0,0.05986,0.016544,0.136678,0.085844
2,double,uniform,GPU,"P | P | P | P",256,30,0.009088,0,0.05976,0.016416,0.135518,0.085264
2,double,uniform,GPU,"P | P | P | P",256,31,0.008416,0,0.060089,0.016,0.135909,0.084505
2,double,uniform,GPU,"P | P | P | P",256,32,0.007776,0,0.059809,0.016416,0.132589,0.084001
2,double,uniform,GPU,"P | P | P | P",256,33,0.008416,0,0.0595,0.016544,0.134889,0.08446
2,double,uniform,GPU,"P | P | P | P",256,34,0.008256,0,0.060229,0.01696,0.136339,0.085445
2,double,uniform,GPU,"P | P | P | P",256,35,0.008192,0,0.059599,0.01648,0.134499,0.084271
2,double,uniform,GPU,"P | P | P | P",256,36,0.01072,0,0.060079,0.01648,0.140799,0.087279
2,double,uniform,GPU,"P | P | P | P",256,37,0.008352,0,0.059899,0.01664,0.136969,0.084891
