dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,CPU,"Ds | Ns",128,44,0.03344,0,0.01845,0.007296,0.099418,0.059186
1,float,uniform,CPU,"Ds | Ns",128,45,0.028192,0,0.01908,0.006976,0.092248,0.054248
1,float,uniform,CPU,"Ds | Ns",128,46,0.030656,0,0.01856,0.007424,0.094879,0.05664
1,float,uniform,CPU,"Ds | Ns",128,47,0.029632,0,0.01884,0.005408,0.093439,0.05388
1,float,uniform,CPU,"Ds | Ns",128,48,0.026848,0,0.015149,0.010688,0.083999,0.052685
1,float,uniform,CPU,"Ds | Ns",128,49,0.028448,0,0.01829,0.00448,0.091719,0.051218
1,float,uniform,CPU,"Ds | Ns",128,50,0.032288,0,0.01831,0.00512,0.092589,0.055718
1,float,uniform,CPU,"Ds | Ns",128,51,0.029728,0,0.01826,0.005728,0.092409,0.053716
1,float,uniform,CPU,"Ds | Ns",128,52,0.028992,0,0.01863,0.005248,0.090239,0.05287
1,float,uniform,CPU,"Ds | Ns",128,53,0.029824,0,0.01817,0.005856,0.091789,0.05385
1,float,uniform,CPU,"Ds | Ns",128,54,0.029312,0,0.01844,0.007136,0.095668,0.054888
1,float,uniform,CPU,"Ds | Ns",128,55,0.032288,0,0.018739,0.00544,0.094299,0.056467
1,float,uniform,CPU,"Ds | Ns",128,56,0.028576,0,0.014749,0.007072,0.082679,0.050397
1,float,uniform,CPU,"Ds | Ns",128,57,0.028032,0,0.01856,0.005344,0.090959,0.051936
1,float,uniform,CPU,"Ds | Ns",128,58,0.029312,0,0.01823,0.006784,0.091539,0.054326
1,float,uniform,CPU,"Ds | Ns",128,59,0.027936,0,0.018219,0.005312,0.095449,0.051467
1,float,uniform,CPU,"Ds | Ns",128,60,0.032128,0,0.02464,0.007328,0.103539,0.064096
1,float,uniform,CPU,"Ds | Ns",128,61,0.029504,0,0.01875,0.00608,0.092859,0.054334
1,float,uniform,CPU,"Ds | Ns",128,62,0.028096,0,0.01892,0.013664,0.099389,0.06068
1,float,uniform,CPU,"Ds | Ns",128,63,0.032416,0,0.0183,0.007264,0.097909,0.05798
1,float,uniform,CPU,"Ds | Ns",128,64,0.029216,0,0.01946,0.007488,0.095119,0.056164
1,float,uniform,CPU,"Ds | Ns",128,65,0.028896,0,0.01934,0.006016,0.092709,0.054252
1,float,uniform,CPU,"Ds | Ns",128,66,0.03008,0,0.018409,0.005248,0.092629,0.053737
1,float,uniform,CPU,"Ds | Ns",128,67,0.030272,0,0.018649,0.004576,0.095729,0.053497
