dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,27,0.044576,0.001691,0.152688,0.0448,0.299126,0.243755
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,28,0.044512,0.00187,0.153127,0.044928,0.299337,0.244437
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,29,0.063104,0.00206,0.152398,0.048576,0.314386,0.266138
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,30,0.052864,0.0021,0.154268,0.04864,0.310406,0.257872
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,31,0.045664,0.00161,0.152938,0.044736,0.299457,0.244948
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,32,0.045408,0.001558,0.153139,0.04624,0.300966,0.246345
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,33,0.065216,0.00231,0.159418,0.050816,0.332066,0.27776
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,34,0.044704,0.00174,0.153419,0.047168,0.302317,0.247031
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,35,0.044384,0.00178,0.151458,0.04496,0.297327,0.242582
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,36,0.042752,0.00192,0.152508,0.045376,0.299217,0.242556
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,37,0.044128,0.00166,0.150987,0.04464,0.294967,0.241415
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,38,0.044448,0.00157,0.152928,0.046752,0.300037,0.245698
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,39,0.06064,0.00226,0.152799,0.047968,0.313286,0.263667
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,40,0.063168,0.002122,0.159558,0.048256,0.334786,0.273104
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,41,0.04672,0.00189,0.153328,0.044704,0.300187,0.246642
