dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,34,0.010272,0,0.079849,0.008,0.145378,0.098121
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,35,0.00912,0,0.07966,0.007424,0.136589,0.096204
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,36,0.012608,0,0.079969,0.007616,0.141058,0.100193
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,37,0.010112,0,0.080579,0.00736,0.138629,0.098051
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,38,0.01056,0,0.08034,0.007392,0.137458,0.098292
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,39,0.010112,0,0.079239,0.009376,0.139028,0.098727
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,40,0.008672,0,0.079879,0.007328,0.136049,0.095879
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,41,0.011616,0,0.080299,0.006976,0.139058,0.098891
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,42,0.012704,0,0.080659,0.00688,0.139999,0.100243
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,43,0.009536,0,0.080149,0.007968,0.138789,0.097653
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,44,0.008,0,0.08083,0.007296,0.136469,0.096126
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,45,0.012032,0,0.079809,0.007296,0.138068,0.099137
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,46,0.009632,0,0.263637,0.00848,0.322456,0.281749
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,47,0.008768,0,0.079499,0.007808,0.136729,0.096075
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,48,0.012576,0,0.079729,0.00752,0.137529,0.099825
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,49,0.010048,0,0.07963,0.008224,0.138578,0.097902
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,50,0.010816,0,0.079829,0.007936,0.138859,0.098581
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,51,0.010624,0,0.080349,0.007488,0.139689,0.098461
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,52,0.008,0,0.080249,0.00816,0.137159,0.096409
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,53,0.009024,0,0.080249,0.007136,0.142229,0.096409
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,54,0.012096,0,0.080019,0.006688,0.138228,0.098803
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,55,0.009696,0,0.079969,0.007552,0.137539,0.097217
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,56,0.009952,0,0.080129,0.006848,0.137839,0.096929
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,57,0.010176,0,0.079699,0.007872,0.137439,0.097747
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,58,0.009888,0,0.080099,0.008512,0.139008,0.098499
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,59,0.011264,0,0.079129,0.008576,0.135839,0.098969
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,60,0.00992,0,0.079779,0.006656,0.136489,0.096355
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,61,0.0104,0,0.080039,0.00896,0.140148,0.099399
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,62,0.010784,0,0.079729,0.008416,0.139389,0.098929
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,63,0.010432,0,0.080448,0.007264,0.139588,0.098144
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,64,0.009408,0,0.080319,0.008064,0.139328,0.097791
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,65,0.008512,0,0.080039,0.007328,0.135928,0.095879
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,66,0.009632,0,0.085869,0.00672,0.141838,0.102221
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,67,0.012288,0,0.079719,0.007744,0.138838,0.099751
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,68,0.01056,0,0.07996,0.008,0.138379,0.09852
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,69,0.008448,0,0.081139,0.008224,0.138379,0.097811
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,70,0.010272,0,0.079809,0.007136,0.138068,0.097217
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,71,0.012256,0,0.08074,0.007552,0.136309,0.100548
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,72,0.010496,0,0.079709,0.008,0.136879,0.098205
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,73,0.011872,0,0.08022,0.007104,0.139259,0.099196
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,74,0.008512,0,0.080529,0.007648,0.137599,0.096689
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",256,0,0.021664,0,0.0737,0.013408,0.153109,0.108772
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",256,1,0.009248,0,0.069158,0.00736,0.130669,0.085766
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",256,2,0.007328,0,0.070149,0.010848,0.133439,0.088325
