dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,GPU,"Ns | Ds",128,28,0.010592,0,0.01856,0.005568,0.067499,0.03472
1,float,uniform,GPU,"Ns | Ds",128,29,0.01216,0,0.0184,0.005536,0.068599,0.036096
1,float,uniform,GPU,"Ns | Ds",128,30,0.010816,0,0.016419,0.006656,0.062859,0.033891
1,float,uniform,GPU,"Ns | Ds",128,31,0.010464,0,0.01826,0.007136,0.069229,0.03586
1,float,uniform,GPU,"Ns | Ds",128,32,0.010432,0,0.01853,0.00528,0.067599,0.034242
1,float,uniform,GPU,"Ns | Ds",128,33,0.012064,0,0.0187,0.005184,0.069639,0.035948
1,float,uniform,GPU,"Ns | Ds",128,34,0.01024,0,0.018021,0.005216,0.072589,0.033477
1,float,uniform,GPU,"Ns | Ds",128,35,0.011136,0,0.019589,0.00544,0.069049,0.036165
1,float,uniform,GPU,"Ns | Ds",128,36,0.00928,0,0.018249,0.005792,0.066489,0.033321
1,float,uniform,GPU,"Ns | Ds",128,37,0.013248,0,0.01795,0.005952,0.072419,0.03715
1,float,uniform,GPU,"Ns | Ds",128,38,0.00992,0,0.01867,0.007104,0.06859,0.035694
1,float,uniform,GPU,"Ns | Ds",128,39,0.012256,0,0.01827,0.006816,0.0718,0.037342
1,float,uniform,GPU,"Ns | Ds",128,40,0.010784,0,0.01859,0.005728,0.067979,0.035102
1,float,uniform,GPU,"Ns | Ds",128,41,0.01072,0,0.018469,0.004992,0.067329,0.034181
1,float,uniform,GPU,"Ns | Ds",128,42,0.01056,0,0.01834,0.007136,0.155218,0.036036
1,float,uniform,GPU,"Ns | Ds",128,43,0.012672,0,0.01788,0.00528,0.06934,0.035832
1,float,uniform,GPU,"Ns | Ds",128,44,0.011072,0,0.01816,0.005472,0.067509,0.034704
1,float,uniform,GPU,"Ns | Ds",128,45,0.014528,0,0.01818,0.006752,0.076089,0.03946
1,float,uniform,GPU,"Ns | Ds",128,46,0.011584,0,0.0188,0.005344,0.06845,0.035728
1,float,uniform,GPU,"Ns | Ds",128,47,0.009984,0,0.01874,0.00704,0.070009,0.035764
1,float,uniform,GPU,"Ns | Ds",128,48,0.010208,0,0.018539,0.00624,0.072319,0.034987
1,float,uniform,GPU,"Ns | Ds",128,49,0.009952,0,0.0183,0.005888,0.067889,0.03414
1,float,uniform,GPU,"Ns | Ds",128,50,0.012768,0,0.01793,0.004384,0.069689,0.035082
1,float,uniform,GPU,"Ns | Ds",128,51,0.00992,0,0.0186,0.098944,0.160798,0.127464
1,float,uniform,GPU,"Ns | Ds",128,52,0.01088,0,0.01806,0.005312,0.065989,0.034252
1,float,uniform,GPU,"Ns | Ds",128,53,0.01264,0,0.01822,0.005248,0.070379,0.036108
1,float,uniform,GPU,"Ns | Ds",128,54,0.0104,0,0.01881,0.005696,0.067909,0.034906
1,float,uniform,GPU,"Ns | Ds",128,55,0.012928,0,0.018291,0.0056,0.069639,0.036819
