dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | D | N",64,67,0.249056,0.00162,0.116039,0.024736,0.453215,0.391451
3,double,uniform,CPU,"P | P | P | P | D | N",64,68,0.242592,0.0016,0.117988,0.02368,0.441575,0.38586
3,double,uniform,CPU,"P | P | P | P | D | N",64,69,0.244256,0.092018,0.117188,0.023232,0.531764,0.476694
3,double,uniform,CPU,"P | P | P | P | D | N",64,70,0.241952,0.00165,0.116478,0.022912,0.439635,0.382992
3,double,uniform,CPU,"P | P | P | P | D | N",64,71,0.240224,0.00166,0.123129,0.023296,0.442665,0.388309
3,double,uniform,CPU,"P | P | P | P | D | N",64,72,0.239488,0.00165,0.115808,0.02384,0.438115,0.380786
3,double,uniform,CPU,"P | P | P | P | D | N",64,73,0.24928,0.001739,0.116669,0.024832,0.449725,0.39252
3,double,uniform,CPU,"P | P | P | P | D | N",64,74,0.24,0.00159,0.115979,0.02416,0.436655,0.381729
3,double,uniform,CPU,"P | P | P | P | D | N",128,0,1.85648,0.00228,0.531394,0.100256,2.57349,2.49041
3,double,uniform,CPU,"P | P | P | P | D | N",128,1,1.53312,0.00187,0.525683,0.096832,2.2163,2.15751
3,double,uniform,CPU,"P | P | P | P | D | N",128,2,1.49917,0.00171,0.525352,0.095904,2.18366,2.12213
3,double,uniform,CPU,"P | P | P | P | D | N",128,3,1.55702,0.00175,0.524945,0.096736,2.24175,2.18045
3,double,uniform,CPU,"P | P | P | P | D | N",128,4,1.5201,0.00182,0.527345,0.09664,2.20641,2.1459
3,double,uniform,CPU,"P | P | P | P | D | N",128,5,1.54573,0.00183,0.525704,0.09552,2.22901,2.16878
3,double,uniform,CPU,"P | P | P | P | D | N",128,6,1.49686,0.001831,0.523245,0.095872,2.17395,2.11781
3,double,uniform,CPU,"P | P | P | P | D | N",128,7,1.58198,0.0022,0.531185,0.099328,2.29793,2.2147
3,double,uniform,CPU,"P | P | P | P | D | N",128,8,1.5287,0.00202,0.526945,0.097088,2.21927,2.15476
3,double,uniform,CPU,"P | P | P | P | D | N",128,9,1.51843,0.00171,0.525454,0.094144,2.20049,2.13974
3,double,uniform,CPU,"P | P | P | P | D | N",128,10,1.53725,0.001721,0.521994,0.097216,2.21301,2.15818
3,double,uniform,CPU,"P | P | P | P | D | N",128,11,1.60067,0.001902,0.524254,0.097408,2.28397,2.22424
3,double,uniform,CPU,"P | P | P | P | D | N",128,12,1.53875,0.00173,0.525123,0.09232,2.21786,2.15793
3,double,uniform,CPU,"P | P | P | P | D | N",128,13,1.5144,0.00168,0.526674,0.093952,2.19749,2.13671
