dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,13,0.027264,0,0.063749,0.019776,0.162539,0.110789
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,14,0.026368,0,0.063819,0.019584,0.160148,0.109771
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,15,0.02656,0,0.063999,0.020032,0.161848,0.110591
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,16,0.0264,0,0.064149,0.019456,0.161218,0.110005
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,17,0.033536,0,0.063799,0.018752,0.169098,0.116087
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,18,0.027136,0,0.064329,0.020704,0.163028,0.112169
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,19,0.02704,0,0.064369,0.021024,0.163038,0.112433
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,20,0.034432,0,0.064309,0.01872,0.166708,0.117461
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,21,0.02688,0,0.063829,0.020448,0.161269,0.111157
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,22,0.027264,0,0.06401,0.019648,0.161108,0.110922
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,23,0.02704,0,0.065138,0.020864,0.163298,0.113042
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,24,0.026272,0,0.064509,0.019264,0.162368,0.110045
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,25,0.027552,0,0.064549,0.020224,0.161808,0.112325
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,26,0.033824,0,0.06351,0.019808,0.167208,0.117142
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,27,0.02832,0,0.063639,0.01968,0.167088,0.111639
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,28,0.033536,0,0.064009,0.018944,0.168868,0.116489
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,29,0.027616,0,0.064269,0.02,0.161928,0.111885
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,30,0.026624,0,0.06436,0.019616,0.162199,0.1106
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,31,0.026048,0,0.064109,0.020064,0.160318,0.110221
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,32,0.026208,0,0.063759,0.019904,0.164408,0.109871
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,33,0.0408,0,0.070559,0.025824,0.189578,0.137183
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,34,0.027168,0,0.060849,0.020768,0.152998,0.108785
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,35,0.027456,0,0.063649,0.019648,0.160328,0.110753
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,36,0.027008,0,0.064409,0.020768,0.164248,0.112185
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,37,0.033312,0,0.06406,0.019168,0.168647,0.11654
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,38,0.025824,0,0.063919,0.020736,0.160988,0.110479
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,39,0.02736,0,0.063879,0.020032,0.161898,0.111271
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,40,0.026048,0,0.06372,0.01968,0.160199,0.109448
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,41,0.026592,0,0.06389,0.019104,0.161748,0.109586
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,42,0.026976,0,0.063599,0.01968,0.160079,0.110255
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,43,0.028864,0,0.064398,0.020352,0.164948,0.113614
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,44,0.026112,0,0.064289,0.019968,0.162298,0.110369
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,45,0.027648,0,0.06384,0.018944,0.161908,0.110432
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,46,0.026784,0,0.064248,0.02064,0.275287,0.111672
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,47,0.02736,0,0.06369,0.028832,0.170758,0.119882
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,48,0.027552,0,0.0618,0.021792,0.155498,0.111144
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,49,0.027296,0,0.063559,0.020192,0.161778,0.111047
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,50,0.026272,0,0.064899,0.019616,0.161468,0.110787
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,51,0.026464,0,0.064169,0.020864,0.162418,0.111497
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,52,0.026624,0,0.063679,0.0208,0.161858,0.111103
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,53,0.041056,0,0.07014,0.0264,0.188488,0.137596
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,54,0.02672,0,0.064649,0.018752,0.162958,0.110121
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,55,0.026304,0,0.063569,0.01904,0.160138,0.108913
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,56,0.033728,0,0.064049,0.020544,0.169128,0.118321
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,57,0.026976,0,0.06415,0.019776,0.166269,0.110902
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,58,0.027136,0,0.064809,0.020768,0.163309,0.112713
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,59,0.02624,0,0.063779,0.019552,0.159139,0.109571
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,60,0.026432,0,0.063169,0.02,0.159658,0.109601
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,61,0.026528,0,0.063639,0.019584,0.159798,0.109751
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,62,0.026464,0,0.069649,0.018752,0.166018,0.114865
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,63,0.033504,0,0.063699,0.019808,0.168838,0.117011
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,64,0.026528,0,0.064629,0.01888,0.162768,0.110037
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,65,0.032224,0,0.063809,0.019072,0.166889,0.115105
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,66,0.026848,0,0.070949,0.020192,0.168148,0.117989
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,67,0.02736,0,0.06376,0.019616,0.161458,0.110736
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,68,0.026688,0,0.065059,0.020064,0.161788,0.111811
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,69,0.02592,0,0.06348,0.019648,0.160509,0.109048
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,70,0.026976,0,0.064439,0.019968,0.162028,0.111383
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,71,0.034784,0,0.064569,0.018976,0.171068,0.118329
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,72,0.026848,0,0.063949,0.020736,0.161698,0.111533
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,73,0.026656,0,0.06357,0.01936,0.161258,0.109586
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,74,0.02624,0,0.06348,0.019808,0.159508,0.109528
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,0,0.066336,0,0.143058,0.05232,0.313837,0.261714
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,1,0.05328,0,0.142719,0.0504,0.300387,0.246399
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,2,0.049984,0,0.142328,0.048,0.292427,0.240312
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,3,0.06608,0,0.145198,0.050432,0.315376,0.26171
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,4,0.068832,0,0.147068,0.052224,0.321466,0.268124
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,5,0.051424,0,0.142129,0.048,0.294107,0.241553
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,6,0.054112,0,0.143319,0.049344,0.299837,0.246775
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,7,0.049088,0,0.14001,0.046272,0.286097,0.23537
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,8,0.050368,0,0.141498,0.048704,0.294627,0.24057
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,9,0.05008,0,0.140839,0.0488,0.298217,0.239719
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,10,0.049696,0,0.140979,0.047104,0.290847,0.237779
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,11,0.065952,0,0.145818,0.052352,0.316956,0.264122
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,12,0.053504,0,0.142208,0.051456,0.300287,0.247168
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,13,0.052256,0,0.141988,0.048832,0.296257,0.243076
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,14,0.049792,0,0.140468,0.048768,0.292216,0.239028
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,15,0.058784,0,0.144588,0.048544,0.304816,0.251916
