dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,40,1.54928,0.00174,0.494705,0.094624,2.19906,2.14035
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,41,1.53194,0.0017,0.489805,0.09648,2.17389,2.11992
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,42,1.55363,0.00181,0.494364,0.094816,2.20663,2.14462
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,43,1.63539,0.00166,0.494214,0.09392,2.28337,2.22519
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,44,1.74634,0.00179,0.494104,0.0952,2.3952,2.33743
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,45,1.52205,0.001699,0.493524,0.094432,2.17094,2.1117
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,46,1.54944,0.001641,0.494285,0.09616,2.20301,2.14153
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,47,1.6105,0.00169,0.494816,0.092832,2.25937,2.19983
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,48,1.55536,0.00188,0.494205,0.094208,2.20289,2.14565
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,49,1.55142,0.001759,0.493674,0.094144,2.1997,2.141
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,50,1.53462,0.00176,0.494655,0.094464,2.19243,2.1255
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,51,1.5585,0.00164,0.494874,0.094528,2.20854,2.14954
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,52,1.60746,0.00171,0.492894,0.093792,2.25664,2.19585
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,53,1.59101,0.00169,0.495165,0.095008,2.23926,2.18287
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,54,1.53754,0.00176,0.495506,0.096608,2.18801,2.13141
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,55,1.5553,0.00178,0.494254,0.09664,2.20676,2.14797
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,56,1.55283,0.00165,0.494075,0.093152,2.20514,2.14171
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,57,1.53725,0.001631,0.493774,0.093312,2.18745,2.12597
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,58,1.56656,0.00199,0.495395,0.093408,2.21807,2.15735
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,59,1.56992,0.00172,0.493645,0.095328,2.21948,2.16061
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,60,1.5497,0.00175,0.494974,0.094656,2.19896,2.14108
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,61,1.58381,0.00215,0.501155,0.099424,2.27187,2.18654
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,62,1.53395,0.0017,0.493614,0.094112,2.1846,2.12338
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,63,1.55181,0.00168,0.498475,0.095552,2.20642,2.14752
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,64,1.58522,0.00171,0.494035,0.095904,2.235,2.17687
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,65,1.51824,0.00165,0.528393,0.09584,2.19804,2.14412
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,66,1.55043,0.001649,0.495645,0.094112,2.2028,2.14184
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,67,1.52563,0.00172,0.494794,0.09376,2.17578,2.11591
