dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",192,46,0.110208,0.00182,1.53612,0.33376,2.04664,1.98191
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",192,47,0.111264,0.001811,1.53535,0.333312,2.0447,1.98174
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",192,48,0.114336,0.00168,1.54822,0.335264,2.06355,1.9995
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",192,49,0.111584,0.00177,1.53693,0.332512,2.04949,1.9828
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",192,50,0.127424,0.002071,1.54779,0.338784,2.07757,2.01607
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",192,51,0.110752,0.00173,1.54118,0.338016,2.05851,1.99168
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",192,52,0.113248,0.00172,1.54752,0.339968,2.0712,2.00245
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",192,53,0.114496,0.00206,1.54172,0.333856,2.05847,1.99213
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",192,54,0.11248,0.001928,1.54288,0.33664,2.05919,1.99393
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",192,55,0.109632,0.00179,1.53992,0.333504,2.05108,1.98484
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",192,56,0.114016,0.00199,1.53592,0.332864,2.05143,1.98479
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",192,57,0.109408,0.0018,1.53592,0.333728,2.04781,1.98085
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",192,58,0.112704,0.00221,1.53639,0.333536,2.05067,1.98484
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",192,59,0.113216,0.00205,1.54126,0.335456,2.05747,1.99198
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",192,60,0.114016,0.00186,1.53753,0.334976,2.05303,1.98838
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",192,61,0.11168,0.0018,1.54383,0.3328,2.05809,1.99011
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",192,62,0.109536,0.00175,1.5382,0.33328,2.05008,1.98277
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",192,63,0.127456,0.00238,1.55019,0.336736,2.08296,2.01676
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",192,64,0.111712,0.00189,1.54725,0.334368,2.06131,1.99522
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",192,65,0.113312,0.00187,1.5374,0.334304,2.05282,1.98689
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",192,66,0.110272,0.00178,1.54092,0.335744,2.05465,1.98872
