dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,CPU,"P | P",128,40,0.019808,0,0.01761,0.01424,0.096319,0.051658
1,float,uniform,CPU,"P | P",128,41,0.019392,0,0.01763,0.013504,0.095919,0.050526
1,float,uniform,CPU,"P | P",128,42,0.019296,0,0.01772,0.014752,0.096479,0.051768
1,float,uniform,CPU,"P | P",128,43,0.019552,0,0.01781,0.014624,0.095739,0.051986
1,float,uniform,CPU,"P | P",128,44,0.019744,0,0.01731,0.014048,0.096099,0.051102
1,float,uniform,CPU,"P | P",128,45,0.0192,0,0.01759,0.013664,0.096889,0.050454
1,float,uniform,CPU,"P | P",128,46,0.019904,0,0.0174,0.015712,0.099129,0.053016
1,float,uniform,CPU,"P | P",128,47,0.022048,0,0.01801,0.014016,0.103179,0.054074
1,float,uniform,CPU,"P | P",128,48,0.02032,0,0.018119,0.015584,0.099379,0.054023
1,float,uniform,CPU,"P | P",128,49,0.018816,0,0.015819,0.016512,0.087719,0.051147
1,float,uniform,CPU,"P | P",128,50,0.021568,0,0.017469,0.016896,0.104059,0.055933
1,float,uniform,CPU,"P | P",128,51,0.018944,0,0.01802,0.014592,0.098579,0.051556
1,float,uniform,CPU,"P | P",128,52,0.019104,0,0.017369,0.01872,0.101559,0.055193
1,float,uniform,CPU,"P | P",128,53,0.019648,0,0.017639,0.016256,0.098549,0.053543
1,float,uniform,CPU,"P | P",128,54,0.019808,0,0.01775,0.016768,0.100409,0.054326
1,float,uniform,CPU,"P | P",128,55,0.01888,0,0.017781,0.01776,0.099499,0.054421
1,float,uniform,CPU,"P | P",128,56,0.02016,0,0.01781,0.016128,0.099219,0.054098
1,float,uniform,CPU,"P | P",128,57,0.019456,0,0.01766,0.017568,0.09757,0.054684
1,float,uniform,CPU,"P | P",128,58,0.022176,0,0.017889,0.016832,0.105809,0.056897
1,float,uniform,CPU,"P | P",128,59,0.019264,0,0.01768,0.013248,0.096149,0.050192
1,float,uniform,CPU,"P | P",128,60,0.127584,0,0.01748,0.014816,0.204887,0.15988
1,float,uniform,CPU,"P | P",128,61,0.021024,0,0.0177,0.016288,0.099729,0.055012
1,float,uniform,CPU,"P | P",128,62,0.021088,0,0.01404,0.017792,0.092639,0.05292
1,float,uniform,CPU,"P | P",128,63,0.018208,0,0.01737,0.01312,0.092999,0.048698
1,float,uniform,CPU,"P | P",128,64,0.019296,0,0.01734,0.015712,0.098059,0.052348
1,float,uniform,CPU,"P | P",128,65,0.019648,0,0.017869,0.0152,0.098639,0.052717
1,float,uniform,CPU,"P | P",128,66,0.018144,0,0.01782,0.013568,0.093449,0.049532
1,float,uniform,CPU,"P | P",128,67,0.021184,0,0.01736,0.014528,0.097879,0.053072
1,float,uniform,CPU,"P | P",128,68,0.020544,0,0.01746,0.015904,0.098819,0.053908
1,float,uniform,CPU,"P | P",128,69,0.019968,0,0.0179,0.013856,0.095438,0.051724
1,float,uniform,CPU,"P | P",128,70,0.018272,0,0.01742,0.014432,0.094308,0.050124
1,float,uniform,CPU,"P | P",128,71,0.021056,0,0.01648,0.014112,0.091319,0.051648
1,float,uniform,CPU,"P | P",128,72,0.018816,0,0.01766,0.014752,0.096309,0.051228
1,float,uniform,CPU,"P | P",128,73,0.02064,0,0.01766,0.015552,0.09949,0.053852
1,float,uniform,CPU,"P | P",128,74,0.02144,0,0.02036,0.01552,0.100839,0.05732
1,float,uniform,CPU,"P | P",192,0,0.026272,0,0.02076,0.03168,0.129158,0.078712
1,float,uniform,CPU,"P | P",192,1,0.021248,0,0.01867,0.01504,0.102059,0.054958
1,float,uniform,CPU,"P | P",192,2,0.019072,0,0.01756,0.015008,0.097229,0.05164
1,float,uniform,CPU,"P | P",192,3,0.020256,0,0.01789,0.013984,0.099189,0.05213
1,float,uniform,CPU,"P | P",192,4,0.018816,0,0.01812,0.014016,0.097519,0.050952
1,float,uniform,CPU,"P | P",192,5,0.019808,0,0.01805,0.013696,0.097888,0.051554
1,float,uniform,CPU,"P | P",192,6,0.020288,0,0.0179,0.014432,0.098649,0.05262
1,float,uniform,CPU,"P | P",192,7,0.021152,0,0.018169,0.013664,0.098499,0.052985
1,float,uniform,CPU,"P | P",192,8,0.020096,0,0.018,0.014944,0.098349,0.05304
1,float,uniform,CPU,"P | P",192,9,0.021056,0,0.01864,0.016224,0.105089,0.05592
1,float,uniform,CPU,"P | P",192,10,0.0192,0,0.018239,0.014464,0.097529,0.051903
1,float,uniform,CPU,"P | P",192,11,0.021024,0,0.0181,0.016992,0.104789,0.056116
1,float,uniform,CPU,"P | P",192,12,0.019136,0,0.01469,0.01456,0.092909,0.048386
1,float,uniform,CPU,"P | P",192,13,0.019872,0,0.014259,0.018368,0.091309,0.052499
1,float,uniform,CPU,"P | P",192,14,0.020608,0,0.01773,0.016736,0.099958,0.055074
1,float,uniform,CPU,"P | P",192,15,0.019456,0,0.01801,0.013696,0.095129,0.051162
1,float,uniform,CPU,"P | P",192,16,0.02016,0,0.01826,0.015584,0.100469,0.054004
1,float,uniform,CPU,"P | P",192,17,0.019328,0,0.01808,0.014656,0.099329,0.052064
1,float,uniform,CPU,"P | P",192,18,0.018496,0,0.017901,0.015808,0.098019,0.052205
1,float,uniform,CPU,"P | P",192,19,0.020768,0,0.01795,0.015136,0.099179,0.053854
1,float,uniform,CPU,"P | P",192,20,0.020544,0,0.017729,0.015008,0.099159,0.053281
1,float,uniform,CPU,"P | P",192,21,0.019904,0,0.01772,0.01376,0.097098,0.051384
1,float,uniform,CPU,"P | P",192,22,0.019424,0,0.01801,0.014912,0.098508,0.052346
1,float,uniform,CPU,"P | P",192,23,0.02,0,0.0182,0.013856,0.099319,0.052056
1,float,uniform,CPU,"P | P",192,24,0.020288,0,0.01833,0.01568,0.100899,0.054298
