dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,2,0.033536,0.001441,0.075909,0.018208,0.183538,0.129094
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,3,0.039776,0.00224,0.086709,0.02752,0.210968,0.156245
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,4,0.027296,0.0015,0.075959,0.018464,0.177727,0.123219
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,5,0.026944,0.001662,0.07639,0.01984,0.179098,0.124836
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,6,0.033344,0.001501,0.07666,0.019968,0.185418,0.131473
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,7,0.026112,0.0016,0.076268,0.018752,0.172648,0.122732
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,8,0.027328,0.00173,0.07542,0.020512,0.176747,0.12499
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,9,0.032896,0.00152,0.075318,0.019328,0.188848,0.129062
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,10,0.034304,0.00155,0.0763,0.01888,0.185708,0.131034
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,11,0.034368,0.001571,0.076268,0.020512,0.186698,0.132719
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,12,0.027008,0.001459,0.076178,0.018912,0.177968,0.123557
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,13,0.034144,0.001509,0.077159,0.020064,0.187648,0.132876
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,14,0.026688,0.001449,0.07616,0.019104,0.178698,0.123401
