dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",192,2,0.108288,0.00209,1.56676,0.333696,2.07262,2.01084
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",192,3,0.110784,0.00211,1.57094,0.337952,2.08843,2.02179
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",192,4,0.09904,0.00217,1.55815,0.331648,2.05831,1.99101
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",192,5,0.104288,0.001969,1.55811,0.329536,2.05893,1.9939
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",192,6,0.112832,0.002049,1.56344,0.334912,2.07796,2.01324
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",192,7,0.106048,0.00198,1.57168,0.3336,2.07946,2.01331
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",192,8,0.116256,0.001969,1.5633,0.333792,2.08256,2.01532
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",192,9,0.115648,0.00216,1.56864,0.336832,2.09033,2.02328
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",192,10,0.103328,0.00189,1.55691,0.330592,2.05801,1.99272
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",192,11,0.105184,0.00204,1.55943,0.332672,2.06669,1.99933
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",192,12,0.1,0.00191,1.56681,0.332832,2.06729,2.00156
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",192,13,0.104608,0.00202,1.56252,0.33312,2.069,2.00227
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",192,14,0.107264,0.00217,1.56841,0.33312,2.07593,2.01097
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",192,15,0.114176,0.001989,1.56737,0.335328,2.08058,2.01887
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",192,16,0.11296,0.002269,1.56258,0.334368,2.07849,2.01218
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",192,17,0.102624,0.00231,1.57217,0.334816,2.07876,2.01192
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",192,18,0.115328,0.00202,1.56002,0.331392,2.07511,2.00876
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",192,19,0.102752,0.002159,1.56863,0.335072,2.07275,2.00862
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",192,20,0.112896,0.00217,1.55934,0.3344,2.07558,2.00881
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",192,21,0.111488,0.00201,1.55947,0.330048,2.06839,2.00302
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",192,22,0.10448,0.00212,1.56643,0.335456,2.07474,2.00849
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",192,23,0.103968,0.00196,1.55921,0.330688,2.06293,1.99583
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",192,24,0.115136,0.0019,1.57098,0.335616,2.09077,2.02364
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",192,25,0.111072,0.002229,1.56319,0.332128,2.07523,2.00862
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",192,26,0.104256,0.001859,1.56503,0.334048,2.07219,2.0052
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",192,27,0.115008,0.002111,1.55986,0.331776,2.07602,2.00876
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",192,28,0.116608,0.00217,1.56246,0.335296,2.07801,2.01654
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",192,29,0.106976,0.00239,1.56334,0.33472,2.10337,2.00743
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",192,30,0.117408,0.002159,1.56401,0.334976,2.08344,2.01856
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",192,31,0.108928,0.002161,1.55911,0.331584,2.0676,2.00179
