dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,CPU,"N | N",192,20,0.02832,0,0.07926,0.006304,0.156669,0.113884
1,double,uniform,CPU,"N | N",192,21,0.032448,0,0.07968,0.007264,0.166858,0.119392
1,double,uniform,CPU,"N | N",192,22,0.033536,0,0.079169,0.008512,0.162298,0.121217
1,double,uniform,CPU,"N | N",192,23,0.029856,0,0.079229,0.009088,0.159179,0.118173
1,double,uniform,CPU,"N | N",192,24,0.028832,0,0.079009,0.006752,0.156548,0.114593
1,double,uniform,CPU,"N | N",192,25,0.028832,0,0.079319,0.005984,0.155389,0.114135
1,double,uniform,CPU,"N | N",192,26,0.03184,0,0.081029,0.00592,0.160548,0.118789
1,double,uniform,CPU,"N | N",192,27,0.02944,0,0.07947,0.007264,0.157168,0.116174
1,double,uniform,CPU,"N | N",192,28,0.029696,0,0.07906,0.007296,0.158189,0.116052
1,double,uniform,CPU,"N | N",192,29,0.03008,0,0.07945,0.006144,0.157529,0.115674
1,double,uniform,CPU,"N | N",192,30,0.031648,0,0.079319,0.007968,0.163678,0.118935
1,double,uniform,CPU,"N | N",192,31,0.029664,0,0.07924,0.007264,0.157518,0.116168
1,double,uniform,CPU,"N | N",192,32,0.030816,0,0.080489,0.006144,0.158609,0.117449
1,double,uniform,CPU,"N | N",192,33,0.030208,0,0.07923,0.009568,0.161248,0.119006
1,double,uniform,CPU,"N | N",192,34,0.030336,0,0.07896,0.00672,0.156829,0.116016
1,double,uniform,CPU,"N | N",192,35,0.028192,0,0.07946,0.00736,0.157108,0.115012
1,double,uniform,CPU,"N | N",192,36,0.031808,0,0.081389,0.007776,0.162389,0.120973
1,double,uniform,CPU,"N | N",192,37,0.029344,0,0.07957,0.007232,0.158849,0.116146
1,double,uniform,CPU,"N | N",192,38,0.031808,0,0.079399,0.0072,0.160338,0.118407
1,double,uniform,CPU,"N | N",192,39,0.028096,0,0.0759,0.009312,0.145588,0.113308
1,double,uniform,CPU,"N | N",192,40,0.02688,0,0.076639,0.01088,0.146618,0.114399
1,double,uniform,CPU,"N | N",192,41,0.031072,0,0.079219,0.00736,0.159209,0.117651
1,double,uniform,CPU,"N | N",192,42,0.035232,0,0.079209,0.00784,0.163188,0.122281
