dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",192,13,0.11824,0.001891,1.49882,0.335744,2.02167,1.9547
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",192,14,0.112448,0.00205,1.49324,0.337248,2.01053,1.94499
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",192,15,0.111232,0.00166,1.49198,0.334272,2.00522,1.93915
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",192,16,0.112128,0.00162,1.4933,0.334592,2.00774,1.94164
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",192,17,0.11504,0.00169,1.49,0.337696,2.00512,1.94443
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",192,18,0.114336,0.0019,1.4936,0.332224,2.00626,1.94206
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",192,19,0.112384,0.001569,1.49323,0.335936,2.00926,1.94311
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",192,20,0.116256,0.00174,1.49423,0.335776,2.0203,1.94801
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",192,21,0.11216,0.00203,1.49656,0.338304,2.01518,1.94906
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",192,22,0.111552,0.00178,1.49288,0.334624,2.00582,1.94084
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",192,23,0.11424,0.001859,1.49654,0.334336,2.0152,1.94698
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",192,24,0.115296,0.0019,1.49883,0.336992,2.01785,1.95302
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",192,25,0.1168,0.001869,1.49225,0.33344,2.01108,1.94436
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",192,26,0.111648,0.00161,1.50036,0.34,2.01976,1.95362
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",192,27,0.113024,0.001581,1.49209,0.334336,2.01018,1.94103
