dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,48,0.798912,0.00154,0.08237,0.031584,0.964319,0.914406
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,49,0.791776,0.00161,0.08379,0.030336,0.962599,0.907512
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,50,0.801472,0.00159,0.08188,0.027776,0.964499,0.912718
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,51,0.884032,0.00154,0.082429,0.029312,1.05083,0.997313
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,52,0.79392,0.00154,0.089738,0.031904,0.970119,0.917102
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,53,0.841504,0.00163,0.082649,0.027776,1.00771,0.953559
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,54,0.882592,0.001589,0.082328,0.028416,1.05394,0.994925
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,55,0.802848,0.001569,0.08164,0.028512,0.967959,0.914569
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,56,0.809408,0.0018,0.08153,0.028384,0.972919,0.921122
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,57,0.797472,0.00168,0.081109,0.028992,0.960469,0.909253
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,58,0.79984,0.00172,0.08166,0.029216,0.963079,0.912436
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,59,0.80848,0.001621,0.083918,0.027776,0.977308,0.921795
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,60,0.809632,0.00197,0.082038,0.028864,0.976349,0.922504
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,61,0.804736,0.00158,0.082219,0.028512,0.968979,0.917047
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,62,0.809088,0.001671,0.083509,0.030848,0.977928,0.925116
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,63,0.807776,0.001621,0.083718,0.030304,0.976199,0.923419
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,64,0.946048,0.00154,0.081618,0.030944,1.1116,1.06015
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,65,0.806688,0.00153,0.08222,0.030144,0.973399,0.920582
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,66,0.788736,0.001619,0.084269,0.03104,0.959289,0.905664
