dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"D | D | D | D | N | D",192,53,0.118368,0.00198,4.90926,0.18832,5.27594,5.21793
3,double,uniform,GPU,"D | D | D | D | N | D",192,54,0.118528,0.002,4.90723,0.18736,5.27585,5.21512
3,double,uniform,GPU,"D | D | D | D | N | D",192,55,0.116576,0.002061,4.90998,0.189152,5.27687,5.21777
3,double,uniform,GPU,"D | D | D | D | N | D",192,56,0.117824,0.001861,4.90721,0.183744,5.26873,5.21064
3,double,uniform,GPU,"D | D | D | D | N | D",192,57,0.132992,0.00199,4.91341,0.187296,5.29537,5.23569
3,double,uniform,GPU,"D | D | D | D | N | D",192,58,0.121056,0.00187,4.90403,0.186624,5.26919,5.21358
3,double,uniform,GPU,"D | D | D | D | N | D",192,59,0.121568,0.00214,4.90737,0.188064,5.27593,5.21914
3,double,uniform,GPU,"D | D | D | D | N | D",192,60,0.12096,0.002251,4.90817,0.186688,5.27748,5.21807
3,double,uniform,GPU,"D | D | D | D | N | D",192,61,0.129664,0.00201,4.90798,0.18864,5.28592,5.22829
3,double,uniform,GPU,"D | D | D | D | N | D",192,62,0.1168,0.00173,4.90718,0.18544,5.27025,5.21115
3,double,uniform,GPU,"D | D | D | D | N | D",192,63,0.119296,0.002239,4.91109,0.187104,5.27908,5.21973
3,double,uniform,GPU,"D | D | D | D | N | D",192,64,0.119904,0.00175,4.90634,0.187552,5.2711,5.21554
3,double,uniform,GPU,"D | D | D | D | N | D",192,65,0.114784,0.002031,4.90714,0.18736,5.26795,5.21131
3,double,uniform,GPU,"D | D | D | D | N | D",192,66,0.1224,0.002061,4.90902,0.189248,5.2811,5.22273
3,double,uniform,GPU,"D | D | D | D | N | D",192,67,0.116736,0.00188,4.90685,0.189856,5.27525,5.21532
3,double,uniform,GPU,"D | D | D | D | N | D",192,68,0.123424,0.00202,4.90943,0.187552,5.28226,5.22242
3,double,uniform,GPU,"D | D | D | D | N | D",192,69,0.118016,0.00213,4.91234,0.18704,5.27871,5.21952
3,double,uniform,GPU,"D | D | D | D | N | D",192,70,0.118752,0.00186,4.90754,0.18816,5.2766,5.21631
3,double,uniform,GPU,"D | D | D | D | N | D",192,71,0.116064,0.002139,4.90739,0.189248,5.27309,5.21484
3,double,uniform,GPU,"D | D | D | D | N | D",192,72,0.1152,0.00186,4.90758,0.185984,5.26959,5.21062
3,double,uniform,GPU,"D | D | D | D | N | D",192,73,0.114016,0.00196,4.90492,0.187072,5.26758,5.20797
3,double,uniform,GPU,"D | D | D | D | N | D",192,74,0.118272,0.00188,4.90519,0.186432,5.26799,5.21177
3,double,uniform,GPU,"D | D | D | D | N | D",256,0,0.372224,0.001991,11.6159,0.423072,12.4877,12.4132
3,double,uniform,GPU,"D | D | D | D | N | D",256,1,0.369504,0.00216,11.6189,0.423264,12.4827,12.4139
3,double,uniform,GPU,"D | D | D | D | N | D",256,2,0.368544,0.00235,11.6186,0.42096,12.4819,12.4105
3,double,uniform,GPU,"D | D | D | D | N | D",256,3,0.373312,0.00213,11.6183,0.425184,12.4932,12.4189
3,double,uniform,GPU,"D | D | D | D | N | D",256,4,0.369856,0.007629,11.6154,0.42176,12.4822,12.4146
