dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",448,14,     329.233995
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",448,15,     330.712429
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",448,16,     329.669778
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",448,17,     328.736207
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",448,18,     332.212931
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",448,19,     330.187676
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",512,0,     657.846210
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",512,1,     658.122632
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",512,2,     657.669897
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",512,3,     664.716278
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",512,4,     665.914358
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",512,5,     658.653775
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",512,6,     665.044983
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",512,7,     663.833091
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",512,8,     646.135449
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",512,9,     650.017066
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",512,10,     648.011892
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",512,11,     676.354236
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",512,12,     669.956575
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",512,13,     664.615031
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",512,14,     666.253542
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",512,15,     679.821181
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",512,16,     665.569457
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",512,17,     674.321206
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",512,18,     662.167046
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",512,19,     665.756810
