dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",448,6,     431.345690
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",448,7,     423.683426
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",448,8,     420.941040
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",448,9,     425.950761
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",448,10,     429.187845
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",448,11,     432.388621
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",448,12,     422.593435
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",448,13,     416.749784
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",448,14,     432.911758
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",448,15,     427.820062
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",448,16,     428.996570
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",448,17,     427.275906
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",448,18,     427.834942
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",448,19,     423.221847
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",512,0,     780.731415
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",512,1,     780.261215
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",512,2,     781.832199
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",512,3,     788.129329
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",512,4,     780.410788
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",512,5,     779.133969
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",512,6,     781.640563
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",512,7,     776.989696
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",512,8,     771.490041
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",512,9,     789.866388
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",512,10,     791.616653
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",512,11,     781.232381
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",512,12,     777.952904
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",512,13,     785.595953
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",512,14,     775.577996
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",512,15,     780.327412
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",512,16,     772.218848
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",512,17,     790.146754
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",512,18,     785.285873
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",512,19,     800.119308
