dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,46,      54.501410
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,47,      55.717838
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,48,      54.563341
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,49,      56.275072
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,50,      55.419220
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,51,      55.736147
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,52,      55.807076
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,53,      55.158734
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,54,      55.172744
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,55,      55.576599
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,56,      55.839596
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,57,      55.888416
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,58,      54.400582
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,59,      55.440780
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,60,      55.735108
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,61,      54.871977
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,62,      56.116734
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,63,      55.872546
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,64,      54.188714
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,65,      54.795368
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,66,      56.553379
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,67,      55.134733
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,68,      56.271081
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,69,      54.525201
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,70,      54.490671
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,71,      55.145834
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,72,      55.041285
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,73,      55.597769
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,74,      54.751378
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,0,     119.755065
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,1,     119.956033
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,2,     121.209379
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,3,     116.206534
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,4,     143.694536
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,5,     128.565341
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,6,     143.408210
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,7,     120.551556
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,8,     120.016452
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,9,     119.210810
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,10,     131.799185
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,11,     154.083765
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,12,     118.159093
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,13,     118.344541
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,14,     122.417656
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,15,     119.084192
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,16,     120.906913
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,17,     142.465659
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,18,     117.797316
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,19,     117.393400
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,20,     121.623555
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,21,     119.916083
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,22,     162.266485
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,23,     157.565566
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,24,     118.986003
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,25,     119.936913
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,26,     121.370447
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,27,     143.724426
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,28,     115.175715
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,29,     118.327030
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,30,     137.550313
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,31,     116.418791
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,32,     116.078595
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,33,     117.166623
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,34,     116.466091
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,35,     114.682100
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,36,     140.828967
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,37,     120.830283
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,38,     135.592644
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,39,     116.891676
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,40,     118.143602
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,41,     119.233791
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,42,     118.636327
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,43,     121.435947
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,44,     123.689273
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,45,     121.457097
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,46,     119.974193
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,47,     122.878131
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,48,     120.745974
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,49,     118.763076
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,50,     115.339243
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,51,     121.905502
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,52,     122.674873
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,53,     121.255069
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,54,     119.340009
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,55,     118.646557
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,56,     121.163420
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,57,     143.393679
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,58,     120.315009
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,59,     119.440049
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,60,     117.812826
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,61,     152.331453
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,62,     145.440137
3,float,uniform,PoisFFT,"N | D | N | N | N | N",320,63,     119.428739
