dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
1,double,uniform,PoisFFT,"N | N",256,7,       0.004900
1,double,uniform,PoisFFT,"N | N",256,8,       0.004900
1,double,uniform,PoisFFT,"N | N",256,9,       0.004870
1,double,uniform,PoisFFT,"N | N",256,10,       0.004890
1,double,uniform,PoisFFT,"N | N",256,11,       0.004910
1,double,uniform,PoisFFT,"N | N",256,12,       0.004900
1,double,uniform,PoisFFT,"N | N",256,13,       0.004889
1,double,uniform,PoisFFT,"N | N",256,14,       0.004850
1,double,uniform,PoisFFT,"N | N",256,15,       0.004840
1,double,uniform,PoisFFT,"N | N",256,16,       0.004910
1,double,uniform,PoisFFT,"N | N",256,17,       0.004870
1,double,uniform,PoisFFT,"N | N",256,18,       0.004900
1,double,uniform,PoisFFT,"N | N",256,19,       0.004880
1,double,uniform,PoisFFT,"N | N",256,20,       0.004880
1,double,uniform,PoisFFT,"N | N",256,21,       0.004870
1,double,uniform,PoisFFT,"N | N",256,22,       0.004880
1,double,uniform,PoisFFT,"N | N",256,23,       0.004910
1,double,uniform,PoisFFT,"N | N",256,24,       0.004890
1,double,uniform,PoisFFT,"N | N",256,25,       0.005040
1,double,uniform,PoisFFT,"N | N",256,26,       0.004890
1,double,uniform,PoisFFT,"N | N",256,27,       0.004940
1,double,uniform,PoisFFT,"N | N",256,28,       0.004890
1,double,uniform,PoisFFT,"N | N",256,29,       0.004920
1,double,uniform,PoisFFT,"N | N",256,30,       0.004899
1,double,uniform,PoisFFT,"N | N",256,31,       0.004911
1,double,uniform,PoisFFT,"N | N",256,32,       0.004869
1,double,uniform,PoisFFT,"N | N",256,33,       0.004930
1,double,uniform,PoisFFT,"N | N",256,34,       0.005100
1,double,uniform,PoisFFT,"N | N",256,35,       0.004890
1,double,uniform,PoisFFT,"N | N",256,36,       0.004990
1,double,uniform,PoisFFT,"N | N",256,37,       0.004900
1,double,uniform,PoisFFT,"N | N",256,38,       0.004900
1,double,uniform,PoisFFT,"N | N",256,39,       0.004890
1,double,uniform,PoisFFT,"N | N",256,40,       0.004919
1,double,uniform,PoisFFT,"N | N",256,41,       0.004909
1,double,uniform,PoisFFT,"N | N",256,42,       0.004900
1,double,uniform,PoisFFT,"N | N",256,43,       0.004920
1,double,uniform,PoisFFT,"N | N",256,44,       0.004910
1,double,uniform,PoisFFT,"N | N",256,45,       0.004910
1,double,uniform,PoisFFT,"N | N",256,46,       0.004910
1,double,uniform,PoisFFT,"N | N",256,47,       0.004900
1,double,uniform,PoisFFT,"N | N",256,48,       0.004880
1,double,uniform,PoisFFT,"N | N",256,49,       0.004890
1,double,uniform,PoisFFT,"N | N",256,50,       0.004940
1,double,uniform,PoisFFT,"N | N",256,51,       0.004870
1,double,uniform,PoisFFT,"N | N",256,52,       0.004880
1,double,uniform,PoisFFT,"N | N",256,53,       0.004850
1,double,uniform,PoisFFT,"N | N",256,54,       0.004900
