dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,25,      21.883824
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,26,      21.878025
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,27,      21.793286
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,28,      21.873094
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,29,      22.104902
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,30,      21.877115
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,31,      21.812115
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,32,      22.027263
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,33,      21.953274
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,34,      21.914024
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,35,      21.817786
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,36,      21.918154
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,37,      21.784046
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,38,      21.787176
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,39,      21.879775
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,40,      21.850275
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,41,      21.928904
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,42,      21.769385
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,43,      22.008643
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,44,      21.847546
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,45,      21.823026
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,46,      21.901024
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,47,      21.911935
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,48,      21.850065
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,49,      21.834435
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,50,      21.841065
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,51,      21.946484
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,52,      21.834165
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,53,      21.897124
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,54,      21.852105
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,55,      21.864365
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,56,      21.755866
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,57,      21.895464
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,58,      21.875325
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,59,      21.797426
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,60,      21.833775
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,61,      21.903704
