dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,58,       1.860661
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,59,       1.383926
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,60,       1.357077
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,61,       1.349397
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,62,       1.363237
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,63,       1.356417
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,64,       1.353876
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,65,       1.342806
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,66,       1.350816
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,67,       1.848512
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,68,       1.358897
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,69,       1.384706
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,70,       1.371056
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,71,       1.371226
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,72,       1.338366
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,73,       1.359406
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,74,       1.370677
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,0,       5.529525
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,1,       4.659533
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,2,       5.110119
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,3,       4.743733
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,4,       4.941721
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,5,       5.003901
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,6,       5.196778
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,7,       5.130118
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,8,       4.859801
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,9,       5.326617
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,10,       4.938970
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,11,       4.995620
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,12,       5.284037
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,13,       5.034740
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,14,       5.224818
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,15,       4.746933
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,16,       5.057870
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,17,       5.069980
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,18,       5.130798
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,19,       4.943030
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,20,       4.729603
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,21,       5.235047
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,22,       5.083569
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,23,       5.179709
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,24,       4.848212
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,25,       5.210538
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,26,       5.126329
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,27,       5.104699
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,28,       5.200908
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,29,       4.948441
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,30,       5.045410
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,31,       4.730533
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,32,       5.242897
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,33,       4.810222
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,34,       5.000960
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,35,       4.686893
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,36,       4.753103
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,37,       4.919221
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,38,       5.023010
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,39,       5.115949
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,40,       4.994220
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,41,       5.028009
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,42,       5.171448
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,43,       5.061299
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,44,       4.880151
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,45,       5.284497
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,46,       4.995410
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,47,       5.045089
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,48,       4.715483
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,49,       4.883461
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,50,       5.266727
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,51,       5.240567
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,52,       4.800882
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,53,       4.810112
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,54,       5.225439
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,55,       5.188008
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,56,       4.761733
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,57,       5.134078
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,58,       5.177508
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,59,       5.205158
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,60,       4.782103
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,61,       4.779512
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,62,       5.198428
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,63,       4.832582
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,64,       5.099169
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,65,       4.801943
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,66,       5.282287
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,67,       4.904761
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,68,       4.679143
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",192,69,       5.228408
