dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,34,      56.544690
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,35,      56.496041
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,36,      58.036554
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,37,      58.223011
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,38,      56.343503
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,39,      56.464121
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,40,      56.314583
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,41,      56.601850
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,42,      57.980654
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,43,      57.580078
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,44,      57.712328
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,45,      55.641371
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,46,      57.251523
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,47,      57.684418
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,48,      56.953945
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,49,      56.483671
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,50,      56.968576
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,51,      57.851076
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,52,      57.477410
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,53,      55.324164
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,54,      58.751185
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,55,      55.800618
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,56,      57.278613
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,57,      56.957966
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,58,      56.170545
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,59,      58.479689
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,60,      58.075474
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,61,      57.068035
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,62,      58.214971
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,63,      58.108142
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,64,      57.731457
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,65,      55.398734
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,66,      56.330363
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,67,      57.799747
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,68,      58.054813
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,69,      56.439352
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,70,      57.619218
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,71,      57.250323
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,72,      57.569019
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,73,      57.221943
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,74,      57.006235
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",320,0,     122.840630
