dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
1,float,uniform,PoisFFT,"N | D",320,22,       0.002250
1,float,uniform,PoisFFT,"N | D",320,23,       0.002250
1,float,uniform,PoisFFT,"N | D",320,24,       0.002260
1,float,uniform,PoisFFT,"N | D",320,25,       0.002290
1,float,uniform,PoisFFT,"N | D",320,26,       0.002250
1,float,uniform,PoisFFT,"N | D",320,27,       0.002300
1,float,uniform,PoisFFT,"N | D",320,28,       0.002270
1,float,uniform,PoisFFT,"N | D",320,29,       0.002310
1,float,uniform,PoisFFT,"N | D",320,30,       0.002260
1,float,uniform,PoisFFT,"N | D",320,31,       0.002270
1,float,uniform,PoisFFT,"N | D",320,32,       0.002250
1,float,uniform,PoisFFT,"N | D",320,33,       0.002231
1,float,uniform,PoisFFT,"N | D",320,34,       0.002289
1,float,uniform,PoisFFT,"N | D",320,35,       0.002269
1,float,uniform,PoisFFT,"N | D",320,36,       0.002250
1,float,uniform,PoisFFT,"N | D",320,37,       0.002270
1,float,uniform,PoisFFT,"N | D",320,38,       0.002260
1,float,uniform,PoisFFT,"N | D",320,39,       0.002280
1,float,uniform,PoisFFT,"N | D",320,40,       0.002290
1,float,uniform,PoisFFT,"N | D",320,41,       0.002300
1,float,uniform,PoisFFT,"N | D",320,42,       0.002250
1,float,uniform,PoisFFT,"N | D",320,43,       0.002220
1,float,uniform,PoisFFT,"N | D",320,44,       0.002290
1,float,uniform,PoisFFT,"N | D",320,45,       0.002290
1,float,uniform,PoisFFT,"N | D",320,46,       0.002270
1,float,uniform,PoisFFT,"N | D",320,47,       0.002271
1,float,uniform,PoisFFT,"N | D",320,48,       0.002271
1,float,uniform,PoisFFT,"N | D",320,49,       0.002289
1,float,uniform,PoisFFT,"N | D",320,50,       0.002260
1,float,uniform,PoisFFT,"N | D",320,51,       0.002260
1,float,uniform,PoisFFT,"N | D",320,52,       0.002270
1,float,uniform,PoisFFT,"N | D",320,53,       0.002250
1,float,uniform,PoisFFT,"N | D",320,54,       0.002250
1,float,uniform,PoisFFT,"N | D",320,55,       0.002260
1,float,uniform,PoisFFT,"N | D",320,56,       0.002280
1,float,uniform,PoisFFT,"N | D",320,57,       0.002250
1,float,uniform,PoisFFT,"N | D",320,58,       0.002260
1,float,uniform,PoisFFT,"N | D",320,59,       0.002270
1,float,uniform,PoisFFT,"N | D",320,60,       0.002250
1,float,uniform,PoisFFT,"N | D",320,61,       0.002270
1,float,uniform,PoisFFT,"N | D",320,62,       0.002300
1,float,uniform,PoisFFT,"N | D",320,63,       0.002260
1,float,uniform,PoisFFT,"N | D",320,64,       0.002299
1,float,uniform,PoisFFT,"N | D",320,65,       0.002290
1,float,uniform,PoisFFT,"N | D",320,66,       0.002260
1,float,uniform,PoisFFT,"N | D",320,67,       0.002230
1,float,uniform,PoisFFT,"N | D",320,68,       0.002260
1,float,uniform,PoisFFT,"N | D",320,69,       0.002260
1,float,uniform,PoisFFT,"N | D",320,70,       0.002250
1,float,uniform,PoisFFT,"N | D",320,71,       0.002230
1,float,uniform,PoisFFT,"N | D",320,72,       0.002290
1,float,uniform,PoisFFT,"N | D",320,73,       0.002260
1,float,uniform,PoisFFT,"N | D",320,74,       0.002290
1,float,uniform,PoisFFT,"N | D",384,0,       0.004430
1,float,uniform,PoisFFT,"N | D",384,1,       0.002640
1,float,uniform,PoisFFT,"N | D",384,2,       0.002510
1,float,uniform,PoisFFT,"N | D",384,3,       0.002510
1,float,uniform,PoisFFT,"N | D",384,4,       0.002460
1,float,uniform,PoisFFT,"N | D",384,5,       0.002460
