dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,36,       7.121863
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,37,       7.003754
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,38,       7.109563
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,39,       7.004635
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,40,       7.090983
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,41,       7.091053
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,42,       7.123023
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,43,       7.029874
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,44,       7.111284
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,45,       7.053334
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,46,       7.122803
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,47,       7.126583
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,48,       7.143153
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,49,       7.051214
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,50,       7.020385
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,51,       7.102464
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,52,       7.136283
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,53,       7.295791
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,54,       7.070254
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,55,       6.979615
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,56,       7.099593
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,57,       7.126293
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,58,       7.055894
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,59,       7.070374
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,60,       7.073313
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,61,       7.164812
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,62,       7.045404
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,63,       7.101473
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,64,       7.082134
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,65,       7.000795
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,66,       7.182802
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,67,       6.999484
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,68,       7.266932
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,69,       7.083994
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,70,       7.077953
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,71,       7.034984
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,72,       7.042444
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,73,       7.080974
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",192,74,       7.189672
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,0,      18.702278
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,1,      18.348152
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,2,      18.586770
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,3,      18.306432
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,4,      18.196194
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,5,      18.348372
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,6,      18.391501
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,7,      18.275032
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,8,      18.473940
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,9,      18.440511
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,10,      18.182294
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,11,      18.142044
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,12,      18.283723
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,13,      18.402021
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,14,      18.414931
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,15,      18.253893
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,16,      18.445761
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,17,      18.260743
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,18,      18.169124
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,19,      18.225733
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,20,      18.234703
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,21,      18.379162
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,22,      18.345182
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,23,      18.364352
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",256,24,      18.408232
