dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
1,float,uniform,PoisFFT,"Ns | Ns",256,20,       0.001580
1,float,uniform,PoisFFT,"Ns | Ns",256,21,       0.001611
1,float,uniform,PoisFFT,"Ns | Ns",256,22,       0.001600
1,float,uniform,PoisFFT,"Ns | Ns",256,23,       0.001610
1,float,uniform,PoisFFT,"Ns | Ns",256,24,       0.001590
1,float,uniform,PoisFFT,"Ns | Ns",256,25,       0.001600
1,float,uniform,PoisFFT,"Ns | Ns",256,26,       0.001610
1,float,uniform,PoisFFT,"Ns | Ns",256,27,       0.001600
1,float,uniform,PoisFFT,"Ns | Ns",256,28,       0.001590
1,float,uniform,PoisFFT,"Ns | Ns",256,29,       0.001600
1,float,uniform,PoisFFT,"Ns | Ns",256,30,       0.001590
1,float,uniform,PoisFFT,"Ns | Ns",256,31,       0.001600
1,float,uniform,PoisFFT,"Ns | Ns",256,32,       0.001600
1,float,uniform,PoisFFT,"Ns | Ns",256,33,       0.001590
1,float,uniform,PoisFFT,"Ns | Ns",256,34,       0.001600
1,float,uniform,PoisFFT,"Ns | Ns",256,35,       0.001570
1,float,uniform,PoisFFT,"Ns | Ns",256,36,       0.001610
1,float,uniform,PoisFFT,"Ns | Ns",256,37,       0.001580
1,float,uniform,PoisFFT,"Ns | Ns",256,38,       0.001610
1,float,uniform,PoisFFT,"Ns | Ns",256,39,       0.001580
1,float,uniform,PoisFFT,"Ns | Ns",256,40,       0.001591
1,float,uniform,PoisFFT,"Ns | Ns",256,41,       0.001620
1,float,uniform,PoisFFT,"Ns | Ns",256,42,       0.001630
1,float,uniform,PoisFFT,"Ns | Ns",256,43,       0.001610
1,float,uniform,PoisFFT,"Ns | Ns",256,44,       0.001590
1,float,uniform,PoisFFT,"Ns | Ns",256,45,       0.001610
1,float,uniform,PoisFFT,"Ns | Ns",256,46,       0.001610
1,float,uniform,PoisFFT,"Ns | Ns",256,47,       0.001610
1,float,uniform,PoisFFT,"Ns | Ns",256,48,       0.001600
1,float,uniform,PoisFFT,"Ns | Ns",256,49,       0.001630
1,float,uniform,PoisFFT,"Ns | Ns",256,50,       0.001610
1,float,uniform,PoisFFT,"Ns | Ns",256,51,       0.001570
1,float,uniform,PoisFFT,"Ns | Ns",256,52,       0.001590
1,float,uniform,PoisFFT,"Ns | Ns",256,53,       0.001600
1,float,uniform,PoisFFT,"Ns | Ns",256,54,       0.001610
1,float,uniform,PoisFFT,"Ns | Ns",256,55,       0.001600
1,float,uniform,PoisFFT,"Ns | Ns",256,56,       0.001610
1,float,uniform,PoisFFT,"Ns | Ns",256,57,       0.001590
