dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,64,      10.609812
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,65,      10.546674
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,66,      10.582033
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,67,      10.587473
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,68,      10.492403
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,69,      10.575472
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,70,      10.474564
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,71,      10.450144
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,72,      10.369775
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,73,      10.652042
3,float,uniform,PoisFFT,"P | P | P | P | P | P",256,74,      10.559114
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,0,      20.347004
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,1,      20.064367
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,2,      19.859190
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,3,      19.909949
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,4,      20.019278
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,5,      19.955909
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,6,      19.742422
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,7,      20.018328
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,8,      20.081058
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,9,      20.033658
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,10,      20.075757
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,11,      19.915179
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,12,      20.014669
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,13,      20.010438
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,14,      20.173586
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,15,      19.906530
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,16,      19.916379
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,17,      20.045088
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,18,      20.223016
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,19,      19.874040
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,20,      19.901140
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,21,      20.067707
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,22,      20.129866
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,23,      19.956439
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,24,      19.891469
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,25,      19.976769
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,26,      19.869010
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,27,      19.922129
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,28,      19.901809
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,29,      19.959698
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,30,      19.970668
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,31,      20.301095
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,32,      19.824370
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,33,      19.844680
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,34,      20.015809
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,35,      20.033119
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,36,      19.913179
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,37,      19.899609
3,float,uniform,PoisFFT,"P | P | P | P | P | P",320,38,      19.889900
