dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,26,      11.336978
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,27,      11.317419
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,28,      11.629045
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,29,      11.200610
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,30,      11.400747
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,31,      11.131681
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,32,      11.192960
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,33,      11.309818
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,34,      11.163360
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,35,      11.114371
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,36,      11.292959
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,37,      11.211550
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,38,      10.911353
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,39,      11.229019
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,40,      11.099261
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,41,      11.217490
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,42,      11.017102
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,43,      10.872853
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,44,      11.054791
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,45,      11.197029
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,46,      11.067771
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,47,      11.357628
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,48,      11.045411
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,49,      11.291969
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,50,      11.262859
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,51,      11.461717
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,52,      11.233379
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,53,      10.951802
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,54,      11.163090
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,55,      11.462056
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,56,      11.340098
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,57,      11.369147
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,58,      11.208930
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,59,      10.963982
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,60,      11.322278
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,61,      11.569125
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,62,      10.796675
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,63,      11.142640
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,64,      11.097440
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,65,      11.249349
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,66,      10.941353
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,67,      11.276379
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,68,      11.695574
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,69,      11.068091
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,70,      11.025061
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,71,      11.177150
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,72,      10.467038
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,73,      11.432697
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,74,      11.157560
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,0,      39.825592
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,1,      40.467675
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,2,      39.880191
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,3,      39.399117
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,4,      39.992780
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,5,      39.242208
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,6,      39.432466
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,7,      39.608615
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,8,      39.361117
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,9,      40.232248
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,10,      40.372906
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,11,      39.442056
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,12,      39.981121
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,13,      39.445927
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,14,      39.617374
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,15,      39.115639
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,16,      39.553115
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,17,      39.266658
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,18,      39.203598
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,19,      40.158418
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,20,      39.401587
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,21,      39.823892
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,22,      39.323548
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,23,      39.557304
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,24,      39.673913
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,25,      39.322197
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,26,      39.442066
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,27,      39.731143
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,28,      40.258998
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,29,      39.386197
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,30,      38.695684
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,31,      38.894392
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,32,      38.695534
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,33,      39.518125
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,34,      38.848323
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,35,      39.931491
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,36,      39.739743
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,37,      40.334587
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,38,      39.243858
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,39,      40.089209
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,40,      40.366566
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,41,      39.207249
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,42,      39.708483
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,43,      40.548494
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,44,      40.008230
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,45,      39.206938
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,46,      40.087809
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,47,      39.617524
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,48,      39.760497
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,49,      39.662204
