dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
1,double,uniform,PoisFFT,"D | D",192,50,       0.010610
1,double,uniform,PoisFFT,"D | D",192,51,       0.010560
1,double,uniform,PoisFFT,"D | D",192,52,       0.010649
1,double,uniform,PoisFFT,"D | D",192,53,       0.010620
1,double,uniform,PoisFFT,"D | D",192,54,       0.010680
1,double,uniform,PoisFFT,"D | D",192,55,       0.010620
1,double,uniform,PoisFFT,"D | D",192,56,       0.010640
1,double,uniform,PoisFFT,"D | D",192,57,       0.010630
1,double,uniform,PoisFFT,"D | D",192,58,       0.010640
1,double,uniform,PoisFFT,"D | D",192,59,       0.010650
1,double,uniform,PoisFFT,"D | D",192,60,       0.010630
1,double,uniform,PoisFFT,"D | D",192,61,       0.010620
1,double,uniform,PoisFFT,"D | D",192,62,       0.010580
1,double,uniform,PoisFFT,"D | D",192,63,       0.010600
1,double,uniform,PoisFFT,"D | D",192,64,       0.010590
1,double,uniform,PoisFFT,"D | D",192,65,       0.010649
1,double,uniform,PoisFFT,"D | D",192,66,       0.010650
1,double,uniform,PoisFFT,"D | D",192,67,       0.010630
1,double,uniform,PoisFFT,"D | D",192,68,       0.010610
1,double,uniform,PoisFFT,"D | D",192,69,       0.010580
1,double,uniform,PoisFFT,"D | D",192,70,       0.010580
1,double,uniform,PoisFFT,"D | D",192,71,       0.010619
1,double,uniform,PoisFFT,"D | D",192,72,       0.010809
1,double,uniform,PoisFFT,"D | D",192,73,       0.010660
1,double,uniform,PoisFFT,"D | D",192,74,       0.010690
1,double,uniform,PoisFFT,"D | D",256,0,       0.014880
1,double,uniform,PoisFFT,"D | D",256,1,       0.014040
1,double,uniform,PoisFFT,"D | D",256,2,       0.013910
1,double,uniform,PoisFFT,"D | D",256,3,       0.013920
1,double,uniform,PoisFFT,"D | D",256,4,       0.013900
1,double,uniform,PoisFFT,"D | D",256,5,       0.013950
1,double,uniform,PoisFFT,"D | D",256,6,       0.013879
1,double,uniform,PoisFFT,"D | D",256,7,       0.013870
1,double,uniform,PoisFFT,"D | D",256,8,       0.013930
1,double,uniform,PoisFFT,"D | D",256,9,       0.083949
1,double,uniform,PoisFFT,"D | D",256,10,       0.017609
1,double,uniform,PoisFFT,"D | D",256,11,       0.013950
1,double,uniform,PoisFFT,"D | D",256,12,       0.013950
1,double,uniform,PoisFFT,"D | D",256,13,       0.013910
1,double,uniform,PoisFFT,"D | D",256,14,       0.013929
1,double,uniform,PoisFFT,"D | D",256,15,       0.013930
1,double,uniform,PoisFFT,"D | D",256,16,       0.013930
1,double,uniform,PoisFFT,"D | D",256,17,       0.013940
1,double,uniform,PoisFFT,"D | D",256,18,       0.013940
1,double,uniform,PoisFFT,"D | D",256,19,       0.013891
1,double,uniform,PoisFFT,"D | D",256,20,       0.013910
1,double,uniform,PoisFFT,"D | D",256,21,       0.013890
1,double,uniform,PoisFFT,"D | D",256,22,       0.013890
1,double,uniform,PoisFFT,"D | D",256,23,       0.013879
1,double,uniform,PoisFFT,"D | D",256,24,       0.013920
1,double,uniform,PoisFFT,"D | D",256,25,       0.014610
1,double,uniform,PoisFFT,"D | D",256,26,       0.014310
1,double,uniform,PoisFFT,"D | D",256,27,       0.013980
1,double,uniform,PoisFFT,"D | D",256,28,       0.014110
1,double,uniform,PoisFFT,"D | D",256,29,       0.013889
1,double,uniform,PoisFFT,"D | D",256,30,       0.013890
1,double,uniform,PoisFFT,"D | D",256,31,       0.013930
1,double,uniform,PoisFFT,"D | D",256,32,       0.013900
1,double,uniform,PoisFFT,"D | D",256,33,       0.013880
1,double,uniform,PoisFFT,"D | D",256,34,       0.013890
1,double,uniform,PoisFFT,"D | D",256,35,       0.013890
1,double,uniform,PoisFFT,"D | D",256,36,       0.013870
1,double,uniform,PoisFFT,"D | D",256,37,       0.013900
1,double,uniform,PoisFFT,"D | D",256,38,       0.013939
1,double,uniform,PoisFFT,"D | D",256,39,       0.013920
1,double,uniform,PoisFFT,"D | D",256,40,       0.013890
1,double,uniform,PoisFFT,"D | D",256,41,       0.013850
1,double,uniform,PoisFFT,"D | D",256,42,       0.013950
1,double,uniform,PoisFFT,"D | D",256,43,       0.013891
1,double,uniform,PoisFFT,"D | D",256,44,       0.013950
1,double,uniform,PoisFFT,"D | D",256,45,       0.013910
1,double,uniform,PoisFFT,"D | D",256,46,       0.013870
1,double,uniform,PoisFFT,"D | D",256,47,       0.013870
1,double,uniform,PoisFFT,"D | D",256,48,       0.013980
1,double,uniform,PoisFFT,"D | D",256,49,       0.013930
1,double,uniform,PoisFFT,"D | D",256,50,       0.013870
1,double,uniform,PoisFFT,"D | D",256,51,       0.013930
1,double,uniform,PoisFFT,"D | D",256,52,       0.013910
1,double,uniform,PoisFFT,"D | D",256,53,       0.013899
1,double,uniform,PoisFFT,"D | D",256,54,       0.033770
1,double,uniform,PoisFFT,"D | D",256,55,       0.013910
1,double,uniform,PoisFFT,"D | D",256,56,       0.013919
1,double,uniform,PoisFFT,"D | D",256,57,       0.013869
1,double,uniform,PoisFFT,"D | D",256,58,       0.013900
1,double,uniform,PoisFFT,"D | D",256,59,       0.013860
1,double,uniform,PoisFFT,"D | D",256,60,       0.013940
1,double,uniform,PoisFFT,"D | D",256,61,       0.013900
1,double,uniform,PoisFFT,"D | D",256,62,       0.013900
1,double,uniform,PoisFFT,"D | D",256,63,       0.013920
1,double,uniform,PoisFFT,"D | D",256,64,       0.013930
1,double,uniform,PoisFFT,"D | D",256,65,       0.013880
1,double,uniform,PoisFFT,"D | D",256,66,       0.013940
1,double,uniform,PoisFFT,"D | D",256,67,       0.013890
1,double,uniform,PoisFFT,"D | D",256,68,       0.013860
1,double,uniform,PoisFFT,"D | D",256,69,       0.013910
1,double,uniform,PoisFFT,"D | D",256,70,       0.013930
1,double,uniform,PoisFFT,"D | D",256,71,       0.014070
1,double,uniform,PoisFFT,"D | D",256,72,       0.013840
1,double,uniform,PoisFFT,"D | D",256,73,       0.013890
1,double,uniform,PoisFFT,"D | D",256,74,       0.013860
1,double,uniform,PoisFFT,"D | D",320,0,       0.020350
1,double,uniform,PoisFFT,"D | D",320,1,       0.020260
1,double,uniform,PoisFFT,"D | D",320,2,       0.020150
1,double,uniform,PoisFFT,"D | D",320,3,       0.020130
1,double,uniform,PoisFFT,"D | D",320,4,       0.020110
1,double,uniform,PoisFFT,"D | D",320,5,       0.020350
1,double,uniform,PoisFFT,"D | D",320,6,       0.020120
1,double,uniform,PoisFFT,"D | D",320,7,       0.024420
1,double,uniform,PoisFFT,"D | D",320,8,       0.020159
1,double,uniform,PoisFFT,"D | D",320,9,       0.020160
1,double,uniform,PoisFFT,"D | D",320,10,       0.020130
1,double,uniform,PoisFFT,"D | D",320,11,       0.020140
1,double,uniform,PoisFFT,"D | D",320,12,       0.020069
1,double,uniform,PoisFFT,"D | D",320,13,       0.020160
1,double,uniform,PoisFFT,"D | D",320,14,       0.020150
1,double,uniform,PoisFFT,"D | D",320,15,       0.020150
1,double,uniform,PoisFFT,"D | D",320,16,       0.020119
1,double,uniform,PoisFFT,"D | D",320,17,       0.020160
1,double,uniform,PoisFFT,"D | D",320,18,       0.020160
1,double,uniform,PoisFFT,"D | D",320,19,       0.020129
1,double,uniform,PoisFFT,"D | D",320,20,       0.020140
1,double,uniform,PoisFFT,"D | D",320,21,       0.020150
1,double,uniform,PoisFFT,"D | D",320,22,       0.020129
1,double,uniform,PoisFFT,"D | D",320,23,       0.020139
1,double,uniform,PoisFFT,"D | D",320,24,       0.020130
1,double,uniform,PoisFFT,"D | D",320,25,       0.020170
1,double,uniform,PoisFFT,"D | D",320,26,       0.020170
1,double,uniform,PoisFFT,"D | D",320,27,       0.020130
1,double,uniform,PoisFFT,"D | D",320,28,       0.020110
1,double,uniform,PoisFFT,"D | D",320,29,       0.020140
1,double,uniform,PoisFFT,"D | D",320,30,       0.020129
1,double,uniform,PoisFFT,"D | D",320,31,       0.020100
1,double,uniform,PoisFFT,"D | D",320,32,       0.020120
1,double,uniform,PoisFFT,"D | D",320,33,       0.020119
1,double,uniform,PoisFFT,"D | D",320,34,       0.020079
1,double,uniform,PoisFFT,"D | D",320,35,       0.020130
1,double,uniform,PoisFFT,"D | D",320,36,       0.020100
