dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,20,       6.696268
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,21,       6.808086
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,22,       6.643008
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,23,       6.634808
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,24,       6.468140
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,25,       6.633008
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,26,       6.586868
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,27,       6.621388
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,28,       6.633437
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,29,       6.635848
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,30,       6.570629
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,31,       6.714437
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,32,       6.695377
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,33,       6.720176
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,34,       6.671868
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,35,       6.722007
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,36,       6.807836
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,37,       6.882715
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,38,       6.476119
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,39,       6.794636
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,40,       6.462890
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,41,       6.623058
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,42,       6.525489
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,43,       6.574009
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,44,       6.587719
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,45,       6.523469
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,46,       6.612538
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,47,       6.536169
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,48,       6.624758
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,49,       6.591919
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,50,       6.511780
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,51,       6.551669
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,52,       6.409850
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,53,       6.572838
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",192,54,       6.548558
