dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,28,      75.333292
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,29,      75.469641
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,30,      75.542590
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,31,      75.105585
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,32,      75.844596
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,33,      75.042785
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,34,      75.518690
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,35,      75.271843
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,36,      74.960686
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,37,      75.509780
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,38,      75.003546
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,39,      75.307063
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,40,      75.278913
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,41,      74.866337
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,42,      74.941137
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,43,      75.075045
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,44,      75.313372
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,45,      75.239683
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,46,      75.686058
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,47,      74.860217
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,48,      74.520472
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,49,      74.901027
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,50,      74.893137
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,51,      74.933567
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,52,      74.583471
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,53,      75.470790
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,54,      75.329582
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,55,      75.236913
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,56,      74.752238
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,57,      74.963546
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,58,      74.877267
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,59,      74.576101
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,60,      75.049595
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,61,      74.865518
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,62,      74.998556
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,63,      74.499192
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,64,      74.309743
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,65,      75.165824
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,66,      75.114155
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,67,      74.932577
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,68,      75.093585
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,69,      74.814638
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,70,      74.777988
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,71,      75.229483
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,72,      75.223334
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,73,      74.579101
3,double,uniform,PoisFFT,"N | D | N | N | N | N",192,74,      74.942417
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,0,      95.499878
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,1,      92.493422
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,2,      95.491448
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,3,      94.610758
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,4,      94.001715
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,5,      94.818486
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,6,      94.481519
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,7,      94.085863
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,8,      94.187723
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,9,      94.088573
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,10,      93.978615
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,11,      94.378341
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,12,      94.610208
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,13,      95.362849
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,14,      94.100604
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,15,      93.859726
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,16,      94.834775
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,17,      94.529919
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,18,      94.723846
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,19,      93.890766
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,20,      94.576878
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,21,      94.892655
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,22,      93.430371
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,23,      94.774866
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,24,      94.979614
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,25,      94.253523
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,26,      94.460780
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,27,      93.902016
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,28,      94.372910
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,29,      94.677987
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,30,      94.086174
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,31,      94.672498
3,double,uniform,PoisFFT,"N | D | N | N | N | N",256,32,      93.922696
