dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,19,       0.384946
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,20,       0.390496
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,21,       0.385686
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,22,       0.389676
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,23,       0.384866
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,24,       0.385076
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,25,       0.385586
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,26,       0.386776
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,27,       0.389815
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,28,       0.387226
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,29,       0.390335
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,30,       0.386406
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,31,       0.389455
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,32,       0.385506
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,33,       0.385907
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,34,       0.387215
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,35,       0.384865
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,36,       0.391555
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,37,       0.386206
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,38,       0.390915
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,39,       0.385626
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,40,       0.385356
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,41,       0.386175
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,42,       0.385836
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,43,       0.391656
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,44,       0.385966
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,45,       0.391756
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,46,       0.385116
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,47,       0.389636
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,48,       0.385006
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,49,       0.386256
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,50,       0.385006
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,51,       0.386466
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,52,       0.390466
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,53,       0.385266
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,54,       0.389036
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,55,       0.384926
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,56,       0.390496
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,57,       0.386616
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,58,       0.385426
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,59,       0.388856
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,60,       0.384956
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,61,       0.390505
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,62,       0.384926
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,63,       0.389596
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,64,       0.385925
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,65,       0.391425
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,66,       0.386096
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,67,       0.387456
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,68,       0.390285
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,69,       0.385745
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,70,       0.389955
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,71,       0.384746
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,72,       0.389376
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,73,       0.386316
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",192,74,       0.389426
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,0,       0.747962
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,1,       0.743662
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,2,       0.746592
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,3,       0.740252
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,4,       0.742692
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,5,       0.748292
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,6,       0.748062
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,7,       0.748212
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,8,       0.750872
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,9,       0.750992
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,10,       0.749562
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,11,       0.748352
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,12,       0.746682
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,13,       0.747662
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,14,       0.749942
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,15,       0.747772
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,16,       0.746272
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,17,       0.748932
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,18,       0.748541
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,19,       0.747442
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,20,       0.750112
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,21,       0.743502
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,22,       0.745432
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,23,       0.744282
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,24,       0.746452
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,25,       0.751122
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,26,       0.748652
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,27,       0.750142
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,28,       0.750492
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,29,       0.746782
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,30,       0.750382
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,31,       0.750012
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,32,       0.747062
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,33,       0.747582
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,34,       0.747222
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,35,       0.747242
2,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds",256,36,       0.748532
