dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,53,       9.019730
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,54,       8.914420
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,55,       9.179678
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,56,       8.944041
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,57,       9.035579
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,58,       9.047210
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,59,       8.880231
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,60,       9.183208
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,61,       9.004950
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,62,       9.179218
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,63,       8.996550
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,64,       8.952040
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,65,       9.058000
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,66,       8.974081
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,67,       9.169588
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,68,       8.899391
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,69,       9.032839
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,70,       8.864031
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,71,       9.169768
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,72,       8.957900
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,73,       9.162628
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",128,74,       9.135449
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,0,      14.847605
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,1,      14.984563
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,2,      14.683847
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,3,      14.524699
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,4,      15.002813
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,5,      14.985994
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,6,      14.802976
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,7,      14.681157
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,8,      14.979704
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,9,      15.050052
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,10,      14.912644
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,11,      14.750766
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,12,      14.778826
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,13,      14.651887
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,14,      14.556618
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,15,      14.596678
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,16,      15.002134
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,17,      14.593057
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,18,      14.703266
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,19,      14.631698
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,20,      14.797456
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,21,      14.562009
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,22,      14.536578
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,23,      14.984904
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,24,      14.651147
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,25,      14.783096
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,26,      14.853295
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,27,      15.001294
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,28,      14.634207
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,29,      14.728326
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,30,      14.594058
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,31,      14.633827
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,32,      14.550478
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,33,      14.958343
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,34,      14.612288
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,35,      14.665858
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,36,      14.757736
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,37,      14.835745
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,38,      14.979194
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,39,      14.950233
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,40,      15.127392
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,41,      14.578198
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,42,      14.960074
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,43,      14.606148
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,44,      14.764186
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,45,      15.193151
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,46,      14.988904
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,47,      14.621948
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,48,      14.583418
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,49,      14.917334
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,50,      14.877195
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,51,      14.629207
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,52,      15.039963
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,53,      14.938655
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,54,      14.726087
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,55,      15.105073
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,56,      15.047713
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,57,      14.569558
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,58,      14.649647
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,59,      14.828105
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,60,      14.732747
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,61,      14.761116
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,62,      14.971014
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,63,      15.109632
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,64,      14.821855
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,65,      14.703687
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,66,      14.700997
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,67,      14.597228
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,68,      14.550208
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,69,      14.623707
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,70,      15.005563
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,71,      14.634327
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,72,      14.635498
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,73,      14.708537
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,74,      14.813316
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,0,      33.903353
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,1,      33.744835
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,2,      33.491328
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,3,      33.715465
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,4,      33.491328
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,5,      33.328690
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,6,      33.500248
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,7,      33.551318
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,8,      33.786905
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,9,      33.387870
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,10,      33.671057
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,11,      33.553277
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,12,      34.123531
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,13,      34.007322
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,14,      33.669096
