dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",320,12,      67.876579
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",320,13,      68.116456
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",320,14,      68.021158
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",320,15,      68.017198
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",320,16,      67.782660
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",320,17,      68.046537
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",320,18,      67.898268
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",320,19,      68.125717
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",320,20,      68.117706
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",320,21,      67.990278
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",320,22,      68.506241
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",320,23,      68.108846
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",320,24,      68.236665
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",320,25,      68.048837
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",320,26,      68.153706
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",320,27,      68.154115
3,float,uniform,PoisFFT,"P | P | P | P | Ns | Ns",320,28,      67.900219
