dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,23,      11.652782
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,24,      11.688012
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,25,      11.779420
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,26,      11.621522
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,27,      11.657542
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,28,      11.706211
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,29,      11.653272
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,30,      11.617092
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,31,      11.695561
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,32,      11.760580
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,33,      11.650172
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,34,      11.684042
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,35,      11.711792
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,36,      11.623352
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,37,      11.637533
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,38,      11.664512
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,39,      11.581252
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,40,      11.627282
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,41,      11.726351
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,42,      11.776521
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,43,      11.649982
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,44,      11.703731
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,45,      11.708491
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,46,      11.795070
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,47,      11.675102
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,48,      11.668711
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,49,      11.777331
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,50,      11.636922
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,51,      11.650252
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,52,      11.709561
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,53,      11.690181
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,54,      11.631542
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,55,      11.678252
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,56,      11.771281
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,57,      11.634882
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,58,      11.677162
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,59,      11.720841
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,60,      11.614452
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,61,      11.594903
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,62,      11.642982
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,63,      11.597632
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,64,      11.599483
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,65,      11.716561
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,66,      11.740671
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,67,      11.710951
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,68,      11.723331
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,69,      11.716571
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,70,      11.663012
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,71,      11.649952
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,72,      11.654752
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,73,      11.778981
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",192,74,      11.644703
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,0,      30.459705
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,1,      30.738022
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,2,      30.970820
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,3,      30.871061
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,4,      30.339217
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,5,      30.763832
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,6,      30.758452
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,7,      31.052179
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,8,      30.809942
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,9,      30.644763
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,10,      30.247037
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,11,      30.559325
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,12,      30.540375
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,13,      30.688243
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,14,      30.616723
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,15,      31.110078
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,16,      30.769762
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,17,      30.983509
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,18,      30.812192
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,19,      30.794321
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,20,      30.449435
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,21,      30.752832
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,22,      30.585224
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,23,      30.247088
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,24,      30.407516
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,25,      30.555404
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,26,      30.740733
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,27,      30.650354
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,28,      31.007320
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,29,      31.019599
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,30,      30.313387
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ns",256,31,      30.854251
