dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
2,double,uniform,PoisFFT,"P | P | P | P",256,23,       0.656323
2,double,uniform,PoisFFT,"P | P | P | P",256,24,       0.660782
2,double,uniform,PoisFFT,"P | P | P | P",256,25,       0.659193
2,double,uniform,PoisFFT,"P | P | P | P",256,26,       0.656993
2,double,uniform,PoisFFT,"P | P | P | P",256,27,       0.665502
2,double,uniform,PoisFFT,"P | P | P | P",256,28,       0.662413
2,double,uniform,PoisFFT,"P | P | P | P",256,29,       0.657123
2,double,uniform,PoisFFT,"P | P | P | P",256,30,       0.673563
2,double,uniform,PoisFFT,"P | P | P | P",256,31,       0.664993
2,double,uniform,PoisFFT,"P | P | P | P",256,32,       0.658363
2,double,uniform,PoisFFT,"P | P | P | P",256,33,       0.666143
2,double,uniform,PoisFFT,"P | P | P | P",256,34,       0.671863
2,double,uniform,PoisFFT,"P | P | P | P",256,35,       0.655283
2,double,uniform,PoisFFT,"P | P | P | P",256,36,       0.669393
2,double,uniform,PoisFFT,"P | P | P | P",256,37,       0.659523
2,double,uniform,PoisFFT,"P | P | P | P",256,38,       0.656463
2,double,uniform,PoisFFT,"P | P | P | P",256,39,       0.659272
2,double,uniform,PoisFFT,"P | P | P | P",256,40,       0.658653
2,double,uniform,PoisFFT,"P | P | P | P",256,41,       0.658163
2,double,uniform,PoisFFT,"P | P | P | P",256,42,       0.660043
2,double,uniform,PoisFFT,"P | P | P | P",256,43,       0.658593
2,double,uniform,PoisFFT,"P | P | P | P",256,44,       0.660833
2,double,uniform,PoisFFT,"P | P | P | P",256,45,       0.672343
2,double,uniform,PoisFFT,"P | P | P | P",256,46,       0.654043
2,double,uniform,PoisFFT,"P | P | P | P",256,47,       0.665863
2,double,uniform,PoisFFT,"P | P | P | P",256,48,       0.662553
2,double,uniform,PoisFFT,"P | P | P | P",256,49,       0.653723
2,double,uniform,PoisFFT,"P | P | P | P",256,50,       0.667173
2,double,uniform,PoisFFT,"P | P | P | P",256,51,       0.659363
2,double,uniform,PoisFFT,"P | P | P | P",256,52,       0.658163
2,double,uniform,PoisFFT,"P | P | P | P",256,53,       0.670182
2,double,uniform,PoisFFT,"P | P | P | P",256,54,       0.666903
2,double,uniform,PoisFFT,"P | P | P | P",256,55,       0.650842
2,double,uniform,PoisFFT,"P | P | P | P",256,56,       0.664183
2,double,uniform,PoisFFT,"P | P | P | P",256,57,       0.660483
2,double,uniform,PoisFFT,"P | P | P | P",256,58,       0.659892
2,double,uniform,PoisFFT,"P | P | P | P",256,59,       0.663753
2,double,uniform,PoisFFT,"P | P | P | P",256,60,       0.661802
2,double,uniform,PoisFFT,"P | P | P | P",256,61,       0.656293
2,double,uniform,PoisFFT,"P | P | P | P",256,62,       0.659053
2,double,uniform,PoisFFT,"P | P | P | P",256,63,       0.668363
2,double,uniform,PoisFFT,"P | P | P | P",256,64,       0.654772
2,double,uniform,PoisFFT,"P | P | P | P",256,65,       0.656413
2,double,uniform,PoisFFT,"P | P | P | P",256,66,       0.666142
2,double,uniform,PoisFFT,"P | P | P | P",256,67,       0.655363
2,double,uniform,PoisFFT,"P | P | P | P",256,68,       0.674083
2,double,uniform,PoisFFT,"P | P | P | P",256,69,       0.672113
2,double,uniform,PoisFFT,"P | P | P | P",256,70,       0.657433
2,double,uniform,PoisFFT,"P | P | P | P",256,71,       0.661843
2,double,uniform,PoisFFT,"P | P | P | P",256,72,       0.654823
2,double,uniform,PoisFFT,"P | P | P | P",256,73,       0.667712
2,double,uniform,PoisFFT,"P | P | P | P",256,74,       0.661353
2,double,uniform,PoisFFT,"P | P | P | P",320,0,       1.051948
2,double,uniform,PoisFFT,"P | P | P | P",320,1,       1.042679
2,double,uniform,PoisFFT,"P | P | P | P",320,2,       1.041198
2,double,uniform,PoisFFT,"P | P | P | P",320,3,       1.045449
2,double,uniform,PoisFFT,"P | P | P | P",320,4,       1.036869
2,double,uniform,PoisFFT,"P | P | P | P",320,5,       1.042929
2,double,uniform,PoisFFT,"P | P | P | P",320,6,       1.037069
2,double,uniform,PoisFFT,"P | P | P | P",320,7,       1.046269
2,double,uniform,PoisFFT,"P | P | P | P",320,8,       1.039629
2,double,uniform,PoisFFT,"P | P | P | P",320,9,       1.046679
2,double,uniform,PoisFFT,"P | P | P | P",320,10,       1.047118
2,double,uniform,PoisFFT,"P | P | P | P",320,11,       1.042148
2,double,uniform,PoisFFT,"P | P | P | P",320,12,       1.040018
2,double,uniform,PoisFFT,"P | P | P | P",320,13,       1.040198
2,double,uniform,PoisFFT,"P | P | P | P",320,14,       1.036088
2,double,uniform,PoisFFT,"P | P | P | P",320,15,       1.042689
2,double,uniform,PoisFFT,"P | P | P | P",320,16,       1.044148
2,double,uniform,PoisFFT,"P | P | P | P",320,17,       1.039629
2,double,uniform,PoisFFT,"P | P | P | P",320,18,       1.044899
2,double,uniform,PoisFFT,"P | P | P | P",320,19,       1.037799
2,double,uniform,PoisFFT,"P | P | P | P",320,20,       1.039359
2,double,uniform,PoisFFT,"P | P | P | P",320,21,       1.043449
2,double,uniform,PoisFFT,"P | P | P | P",320,22,       1.044339
2,double,uniform,PoisFFT,"P | P | P | P",320,23,       1.038839
2,double,uniform,PoisFFT,"P | P | P | P",320,24,       1.038729
2,double,uniform,PoisFFT,"P | P | P | P",320,25,       1.044599
2,double,uniform,PoisFFT,"P | P | P | P",320,26,       1.040189
2,double,uniform,PoisFFT,"P | P | P | P",320,27,       1.046908
2,double,uniform,PoisFFT,"P | P | P | P",320,28,       1.038549
2,double,uniform,PoisFFT,"P | P | P | P",320,29,       1.041799
2,double,uniform,PoisFFT,"P | P | P | P",320,30,       1.040228
2,double,uniform,PoisFFT,"P | P | P | P",320,31,       1.039418
2,double,uniform,PoisFFT,"P | P | P | P",320,32,       1.043029
2,double,uniform,PoisFFT,"P | P | P | P",320,33,       1.041588
2,double,uniform,PoisFFT,"P | P | P | P",320,34,       1.042009
2,double,uniform,PoisFFT,"P | P | P | P",320,35,       1.040529
2,double,uniform,PoisFFT,"P | P | P | P",320,36,       1.042219
2,double,uniform,PoisFFT,"P | P | P | P",320,37,       1.043269
2,double,uniform,PoisFFT,"P | P | P | P",320,38,       1.039818
2,double,uniform,PoisFFT,"P | P | P | P",320,39,       1.039389
2,double,uniform,PoisFFT,"P | P | P | P",320,40,       1.040818
2,double,uniform,PoisFFT,"P | P | P | P",320,41,       1.037329
2,double,uniform,PoisFFT,"P | P | P | P",320,42,       1.033299
2,double,uniform,PoisFFT,"P | P | P | P",320,43,       1.039568
2,double,uniform,PoisFFT,"P | P | P | P",320,44,       1.038258
2,double,uniform,PoisFFT,"P | P | P | P",320,45,       1.042119
2,double,uniform,PoisFFT,"P | P | P | P",320,46,       1.043089
2,double,uniform,PoisFFT,"P | P | P | P",320,47,       1.037289
2,double,uniform,PoisFFT,"P | P | P | P",320,48,       1.042799
2,double,uniform,PoisFFT,"P | P | P | P",320,49,       1.035829
2,double,uniform,PoisFFT,"P | P | P | P",320,50,       1.040839
2,double,uniform,PoisFFT,"P | P | P | P",320,51,       1.038029
2,double,uniform,PoisFFT,"P | P | P | P",320,52,       1.051578
2,double,uniform,PoisFFT,"P | P | P | P",320,53,       1.035939
2,double,uniform,PoisFFT,"P | P | P | P",320,54,       1.042228
2,double,uniform,PoisFFT,"P | P | P | P",320,55,       1.040269
2,double,uniform,PoisFFT,"P | P | P | P",320,56,       1.041759
2,double,uniform,PoisFFT,"P | P | P | P",320,57,       1.035039
2,double,uniform,PoisFFT,"P | P | P | P",320,58,       1.040329
2,double,uniform,PoisFFT,"P | P | P | P",320,59,       1.041349
2,double,uniform,PoisFFT,"P | P | P | P",320,60,       1.045518
2,double,uniform,PoisFFT,"P | P | P | P",320,61,       1.040089
2,double,uniform,PoisFFT,"P | P | P | P",320,62,       1.040878
2,double,uniform,PoisFFT,"P | P | P | P",320,63,       1.047198
2,double,uniform,PoisFFT,"P | P | P | P",320,64,       1.041008
2,double,uniform,PoisFFT,"P | P | P | P",320,65,       1.042209
2,double,uniform,PoisFFT,"P | P | P | P",320,66,       1.039259
2,double,uniform,PoisFFT,"P | P | P | P",320,67,       1.059518
2,double,uniform,PoisFFT,"P | P | P | P",320,68,       1.038719
2,double,uniform,PoisFFT,"P | P | P | P",320,69,       1.053539
2,double,uniform,PoisFFT,"P | P | P | P",320,70,       1.041749
2,double,uniform,PoisFFT,"P | P | P | P",320,71,       1.045838
2,double,uniform,PoisFFT,"P | P | P | P",320,72,       1.040169
2,double,uniform,PoisFFT,"P | P | P | P",320,73,       1.044538
2,double,uniform,PoisFFT,"P | P | P | P",320,74,       1.036159
2,double,uniform,PoisFFT,"P | P | P | P",384,0,       1.543494
2,double,uniform,PoisFFT,"P | P | P | P",384,1,       1.535733
2,double,uniform,PoisFFT,"P | P | P | P",384,2,       1.532904
2,double,uniform,PoisFFT,"P | P | P | P",384,3,       1.522983
2,double,uniform,PoisFFT,"P | P | P | P",384,4,       1.531743
2,double,uniform,PoisFFT,"P | P | P | P",384,5,       1.529094
2,double,uniform,PoisFFT,"P | P | P | P",384,6,       1.528104
2,double,uniform,PoisFFT,"P | P | P | P",384,7,       1.529173
2,double,uniform,PoisFFT,"P | P | P | P",384,8,       1.533593
2,double,uniform,PoisFFT,"P | P | P | P",384,9,       1.530203
2,double,uniform,PoisFFT,"P | P | P | P",384,10,       1.535253
2,double,uniform,PoisFFT,"P | P | P | P",384,11,       1.537613
2,double,uniform,PoisFFT,"P | P | P | P",384,12,       1.538723
2,double,uniform,PoisFFT,"P | P | P | P",384,13,       1.542003
2,double,uniform,PoisFFT,"P | P | P | P",384,14,       1.530263
2,double,uniform,PoisFFT,"P | P | P | P",384,15,       1.533373
2,double,uniform,PoisFFT,"P | P | P | P",384,16,       1.533823
2,double,uniform,PoisFFT,"P | P | P | P",384,17,       1.534394
2,double,uniform,PoisFFT,"P | P | P | P",384,18,       1.537023
2,double,uniform,PoisFFT,"P | P | P | P",384,19,       1.529314
2,double,uniform,PoisFFT,"P | P | P | P",384,20,       1.532624
2,double,uniform,PoisFFT,"P | P | P | P",384,21,       1.526023
2,double,uniform,PoisFFT,"P | P | P | P",384,22,       1.519963
2,double,uniform,PoisFFT,"P | P | P | P",384,23,       1.523543
2,double,uniform,PoisFFT,"P | P | P | P",384,24,       1.525503
2,double,uniform,PoisFFT,"P | P | P | P",384,25,       1.537573
2,double,uniform,PoisFFT,"P | P | P | P",384,26,       1.536813
2,double,uniform,PoisFFT,"P | P | P | P",384,27,       1.527544
2,double,uniform,PoisFFT,"P | P | P | P",384,28,       1.534203
2,double,uniform,PoisFFT,"P | P | P | P",384,29,       1.535183
2,double,uniform,PoisFFT,"P | P | P | P",384,30,       1.530183
2,double,uniform,PoisFFT,"P | P | P | P",384,31,       1.528863
