dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,35,      14.398945
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,36,      15.059378
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,37,      14.780031
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,38,      15.032888
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,39,      14.898630
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,40,      14.563903
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,41,      14.504934
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,42,      14.879070
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,43,      15.413844
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,44,      14.223796
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,45,      14.566254
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,46,      15.108298
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,47,      14.913939
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,48,      13.872551
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,49,      14.490715
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,50,      15.106418
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,51,      15.049478
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,52,      14.528414
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,53,      15.016359
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,54,      14.677662
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,55,      14.410365
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,56,      13.605644
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,57,      15.441964
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,58,      14.774081
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,59,      14.746071
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,60,      14.549443
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,61,      13.162839
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,62,      15.681431
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,63,      14.683902
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,64,      14.552933
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,65,      14.620223
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,66,      13.640053
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,67,      15.716911
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,68,      15.581472
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,69,      14.952279
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,70,      14.434314
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,71,      15.459133
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,72,      14.945699
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,73,      13.734882
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",192,74,      15.739703
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,0,      39.963160
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,1,      38.073049
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,2,      38.719582
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,3,      38.511694
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,4,      38.572375
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,5,      38.965100
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,6,      38.565684
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,7,      38.913640
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,8,      38.275238
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,9,      39.555744
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,10,      40.023079
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,11,      38.944090
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,12,      38.799141
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,13,      38.539004
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,14,      39.396415
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,15,      37.827342
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,16,      38.680383
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,17,      39.344126
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,18,      39.446835
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,19,      37.869671
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,20,      38.160448
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,21,      38.494075
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,22,      39.160778
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,23,      39.244587
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,24,      39.289906
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,25,      38.124809
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,26,      39.708522
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,27,      39.200477
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,28,      38.760083
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,29,      38.225908
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,30,      39.551254
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,31,      39.080289
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,32,      39.790591
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,33,      38.150028
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,34,      38.736123
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,35,      39.424995
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,36,      38.867711
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,37,      38.241958
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,38,      38.772741
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,39,      38.968660
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,40,      38.078469
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,41,      38.887861
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,42,      39.024790
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,43,      38.791612
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,44,      39.041910
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,45,      39.004840
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,46,      39.143268
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,47,      38.684863
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,48,      38.187798
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,49,      38.516175
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,50,      38.917830
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,51,      38.684393
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,52,      39.444815
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,53,      39.145509
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,54,      38.800022
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,55,      38.587044
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,56,      38.733392
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,57,      39.518464
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,58,      39.647012
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,59,      40.426175
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,60,      39.009070
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,61,      39.078748
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,62,      38.171089
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,63,      39.083979
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,64,      38.492175
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,65,      39.275286
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,66,      39.528365
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,67,      38.901121
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,68,      38.217147
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,69,      39.495705
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,70,      39.487005
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,71,      38.545334
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,72,      38.724643
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,73,      38.166208
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",256,74,      39.146949
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,0,      78.920930
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,1,      78.133008
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,2,      78.786641
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,3,      78.731611
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,4,      78.847810
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,5,      79.186217
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,6,      90.368660
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,7,      79.445734
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,8,      80.468233
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,9,      79.963018
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,10,      90.682936
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,11,      86.637699
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,12,      76.638373
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,13,      89.420649
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,14,      76.966870
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,15,      77.488805
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,16,      76.760772
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,17,      76.811681
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,18,      76.955760
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,19,      77.705722
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,20,      78.037558
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,21,      77.081139
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,22,      77.460975
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,23,      87.896015
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,24,      77.702942
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,25,      77.926789
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,26,      77.280057
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,27,      89.207352
3,float,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,28,      76.738753
